,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,SPB8 AG3_Doxo P16 LAMP1-488 + MitoRed + Phalloidin-647,SPB2 AG8 P29 LAMP1-488 + MitoRed + Phalloidin-647,SPB4 AG7 P27 LAMP1-488 + MitoRed + Phalloidin-647,SPB5 AG6 P25 LAMP1-488 + MitoRed + Phalloidin-647,SPB5 AG5 P22 LAMP1-488 + MitoRed + Phalloidin-647,SPB4 AG4 P18 LAMP1-488 + MitoRed + Phalloidin-647,SPB8 AG3 P16 LAMP1-488 + MitoRed + Phalloidin-647,SPB9 AG2 P14 LAMP1-488 + MitoRed + Phalloidin-647,SPB10 AG1 P10 LAMP1-488 + MitoRed + Phalloidin-647,SPB11 AG0 P7 LAMP1-488 + MitoRed + Phalloidin-647,SPB11 AG0 P7 p16INK4A-594 1:800 + Phalloidin-647,SPB5 AG3_Doxo P16 p16INK4A-594 1:800 + Phalloidin-647
C,SPB8 AG3_Doxo P16 LAMP1-488 + MitoRed + Phalloidin-647,SPB2 AG8 P29 LAMP1-488 + MitoRed + Phalloidin-647,SPB4 AG7 P27 LAMP1-488 + MitoRed + Phalloidin-647,SPB5 AG6 P25 LAMP1-488 + MitoRed + Phalloidin-647,SPB5 AG5 P22 LAMP1-488 + MitoRed + Phalloidin-647,SPB4 AG4 P18 LAMP1-488 + MitoRed + Phalloidin-647,SPB8 AG3 P16 LAMP1-488 + MitoRed + Phalloidin-647,SPB9 AG2 P14 LAMP1-488 + MitoRed + Phalloidin-647,SPB10 AG1 P10 LAMP1-488 + MitoRed + Phalloidin-647,SPB11 AG0 P7 LAMP1-488 + MitoRed + Phalloidin-647,SPB11 AG0 P7 p16INK4A-594 1:1600 + Phalloidin-647,SPB5 AG3_Doxo P16 p16INK4A-594 1:1600 + Phalloidin-647
D,SPB8 AG3_Doxo P16 LAMP1-488 + MitoRed + Phalloidin-647,SPB2 AG8 P29 LAMP1-488 + MitoRed + Phalloidin-647,SPB4 AG7 P27 LAMP1-488 + MitoRed + Phalloidin-647,SPB5 AG6 P25 LAMP1-488 + MitoRed + Phalloidin-647,SPB5 AG5 P22 LAMP1-488 + MitoRed + Phalloidin-647,SPB4 AG4 P18 LAMP1-488 + MitoRed + Phalloidin-647,SPB8 AG3 P16 LAMP1-488 + MitoRed + Phalloidin-647,SPB9 AG2 P14 LAMP1-488 + MitoRed + Phalloidin-647,SPB10 AG1 P10 LAMP1-488 + MitoRed + Phalloidin-647,SPB11 AG0 P7 LAMP1-488 + MitoRed + Phalloidin-647,SPB11 AG0 P7 p16INK4A-594 1:2600 + Phalloidin-647,SPB5 AG3_Doxo P16 p16INK4A-594 1:2600 + Phalloidin-647
E,SPB8 AG3_Doxo P16 LAMP1-488 + MitoRed + Phalloidin-647,SPB2 AG8 P29 LAMP1-488 + MitoRed + Phalloidin-647,SPB4 AG7 P27 LAMP1-488 + MitoRed + Phalloidin-647,SPB5 AG6 P25 LAMP1-488 + MitoRed + Phalloidin-647,SPB5 AG5 P22 LAMP1-488 + MitoRed + Phalloidin-647,SPB4 AG4 P18 LAMP1-488 + MitoRed + Phalloidin-647,SPB8 AG3 P16 LAMP1-488 + MitoRed + Phalloidin-647,SPB9 AG2 P14 LAMP1-488 + MitoRed + Phalloidin-647,SPB10 AG1 P10 LAMP1-488 + MitoRed + Phalloidin-647,SPB11 AG0 P7 LAMP1-488 + MitoRed + Phalloidin-647,SPB11 AG0 P7 p16INK4A-594 1:3600 + Phalloidin-647,SPB5 AG3_Doxo P16 p16INK4A-594 1:3600 + Phalloidin-647
F,SPB8 AG3_Doxo P16 LAMP1-488 + MitoRed + Phalloidin-647,SPB2 AG8 P29 LAMP1-488 + MitoRed + Phalloidin-647,SPB4 AG7 P27 LAMP1-488 + MitoRed + Phalloidin-647,SPB5 AG6 P25 LAMP1-488 + MitoRed + Phalloidin-647,SPB5 AG5 P22 LAMP1-488 + MitoRed + Phalloidin-647,SPB4 AG4 P18 LAMP1-488 + MitoRed + Phalloidin-647,SPB8 AG3 P16 LAMP1-488 + MitoRed + Phalloidin-647,SPB9 AG2 P14 LAMP1-488 + MitoRed + Phalloidin-647,SPB10 AG1 P10 LAMP1-488 + MitoRed + Phalloidin-647,SPB11 AG0 P7 LAMP1-488 + MitoRed + Phalloidin-647,SPB11 AG0 P7 p16INK4A-594 1:3600 LMNB1 1:400 + Phalloidin-647,SPB5 AG3_Doxo P16 p16INK4A-594 1:3600 LMNB1 1:400 Phalloidin-647
G,SPB8 AG3_Doxo P16 LAMP1-488 + MitoRed + Phalloidin-647,SPB2 AG8 P29 LAMP1-488 + MitoRed + Phalloidin-647,SPB4 AG7 P27 LAMP1-488 + MitoRed + Phalloidin-647,SPB5 AG6 P25 LAMP1-488 + MitoRed + Phalloidin-647,SPB5 AG5 P22 LAMP1-488 + MitoRed + Phalloidin-647,SPB4 AG4 P18 LAMP1-488 + MitoRed + Phalloidin-647,SPB8 AG3 P16 LAMP1-488 + MitoRed + Phalloidin-647,SPB9 AG2 P14 LAMP1-488 + MitoRed + Phalloidin-647,SPB10 AG1 P10 LAMP1-488 + MitoRed + Phalloidin-647,SPB11 AG0 P7 LAMP1-488 + MitoRed + Phalloidin-647,SPB11 AG0 P7 p21-594 1:6000 + Phalloidin-647,SPB5 AG3_Doxo P16 p21-594 1:600 + Phalloidin-647
H,,,,,,,,,,,,
