,AllGroups,Replicate_Number,count,mean,std,min,1%,2.5%,5%,10%,25%,50%,75%,90%,95%,97.5%,99%,max
10,P11-13,3,2727.0,21788.26622662266,6976.867247985202,5804.0,8552.32,10778.400000000001,12624.0,14528.0,17360.0,20812.0,25112.0,29795.200000000004,33892.0,38391.59999999998,46782.479999999945,74240.0
11,P11-13,2,1055.0,26397.021800947867,7564.452719994666,6628.0,11990.88,13826.4,15302.4,18134.4,21816.0,25824.0,29844.0,35116.8,40217.6,44460.9999999999,49936.0,91120.0
12,P11-13,7,921.0,24970.376764386536,8822.063649333659,7156.0,9680.0,11200.0,14016.0,15952.0,19784.0,23612.0,28816.0,34896.0,39616.0,45680.0,51750.39999999998,129444.0
13,P14-16,4,1073.0,19393.26654240447,7431.982854839962,5680.0,7947.52,8915.2,10467.2,12186.4,14992.0,18144.0,22208.0,27088.0,30877.199999999997,39356.800000000025,49297.6,81392.0
14,P14-16,1,907.0,23524.071664829105,8700.701599450073,5904.0,8615.04,10419.2,11831.6,13923.2,17736.0,22580.0,27490.5,33863.2,37765.599999999984,44444.0,55549.1199999999,76160.0
15,P14-16,2,1114.0,27156.098743267503,7827.396346561348,6768.0,12250.08,14226.0,16350.400000000001,18722.0,22301.0,26190.0,30973.0,35826.8,40801.999999999985,47054.49999999999,53026.51999999989,69648.0
16,P14-16,7,1092.0,26696.25641025641,9568.118299777556,6928.0,9946.24,11933.2,14145.6,16950.4,20813.0,25214.5,30392.0,36702.0,45860.0,53373.99999999992,61682.79999999999,79132.0
17,P14-16,5,1641.0,18273.137111517368,6495.082075193973,6464.0,7820.8,8880.0,10040.0,11360.0,14176.0,17488.0,20912.0,25440.0,28432.0,32736.0,41679.9999999998,70501.0
18,P14-16,3,2528.0,20485.131724683546,6892.744086099563,6224.0,8276.32,10064.0,11408.0,13344.0,16128.0,19520.0,23490.0,28401.2,32179.000000000022,37299.3,44526.44,94304.0
19,P17-19,6,1437.0,22890.1503131524,10658.740726414795,5504.0,7752.32,9804.8,11225.6,13190.4,16976.0,20836.0,26312.0,34377.600000000006,41056.00000000001,47451.99999999993,58764.00000000001,165900.0
20,P17-19,1,445.0,24362.669662921347,10764.371777198554,6096.0,9016.48,10029.2,11316.0,13805.6,17824.0,22640.0,28256.0,35958.4,43667.2,50237.59999999997,63185.12000000001,103444.0
21,P17-19,4,994.0,19366.497987927567,7920.101440021942,6720.0,7824.32,8576.0,9695.6,11531.6,14128.0,17792.0,22566.0,29005.6,33983.799999999974,40099.59999999999,48164.15999999998,60592.0
22,P17-19,3,1575.0,23411.399365079364,7956.85706765203,6580.0,9082.0,10739.2,13094.4,15211.2,18560.0,22560.0,26742.0,31696.00000000001,36268.7,43599.19999999995,54057.28,75856.0
23,P17-19,2,765.0,29184.98431372549,10191.471873710549,7264.0,10152.96,11543.2,14371.2,17303.2,22880.0,27872.0,34576.0,41857.4,47729.799999999996,54100.799999999996,61554.56,75056.0
24,P17-19,5,462.0,26473.35064935065,14589.459294945127,5376.0,9529.76,11105.6,12272.0,13974.4,17930.0,21984.0,30620.0,43552.0,55832.39999999999,73386.92499999967,83603.79999999993,104305.0
