,1,2,3,4,5,6,7,8,9,10,11,12
A,,Doxo_P18 LIN13-0C-b2-s3 AG9 LAMP1-488 + MitoRed + Phalloidin-647,Doxo_P18 LIN13-0C-b2-s3 AG9 LAMP1-488 + MitoRed + Phalloidin-647,Doxo_P18 LIN13-0C-b2-s3 AG9 LAMP1-488 + MitoRed + Phalloidin-647,Doxo_P18 LIN13-0C-b2-s3 AG9 LAMP1-488 + MitoRed + Phalloidin-647,Doxo_P18 LIN13-0C-b2-s3 AG9 LAMP1-488 + MitoRed + Phalloidin-647,Doxo_P18 LIN13-0C-b2-s3 AG9 LAMP1-488 + MitoRed + Phalloidin-647,,,,,
B,Doxo_P12 LIN11-0C-b5 AG9 LMNB1-594 1:250 + Phalloidin-647,Doxo_P12 LIN11-0C-b5 AG9 LAMP1-488 + MitoRed + Phalloidin-647,P34 LIN3-0A-b2-s1-ss1 AG8 LAMP1-488 + MitoRed + Phalloidin-647,P31 LIN3-0A-b2-s1-ss2 AG7 LAMP1-488 + MitoRed + Phalloidin-647,P29 LIN3-0A-b2-s2-ss1-sss1 AG6 LAMP1-488 + MitoRed + Phalloidin-647,P25 LIN7-0C-b3-s1 AG5 LAMP1-488 + MitoRed + Phalloidin-647,P22 LIN8-0B-b2B-s1-ss1 AG4 LAMP1-488 + MitoRed + Phalloidin-647,P22 LIN8-0B-b2B-s1-ss2 AG3 LAMP1-488 + MitoRed + Phalloidin-647,P18 LIN6-0C-b1-s2 AG2 LAMP1-488 + MitoRed + Phalloidin-647,P14 LIN11-0C-b5 AG1 LAMP1-488 + MitoRed + Phalloidin-647,P13 LIN12-0C-b2-s2 AG0 LAMP1-488 + MitoRed + Phalloidin-647,P13 LIN12-0C-b2-s2 AG0 LMNB1-594 1:250 + Phalloidin-647
C,Doxo_P12 LIN11-0C-b5 AG9 LMNB1-594 1:500 + Phalloidin-647,Doxo_P12 LIN11-0C-b5 AG9 LAMP1-488 + MitoRed + Phalloidin-647,P34 LIN3-0A-b2-s1-ss1 AG8 LAMP1-488 + MitoRed + Phalloidin-647,P31 LIN3-0A-b2-s1-ss2 AG7 LAMP1-488 + MitoRed + Phalloidin-647,P29 LIN3-0A-b2-s2-ss1-sss1 AG6 LAMP1-488 + MitoRed + Phalloidin-647,P25 LIN7-0C-b3-s1 AG5 LAMP1-488 + MitoRed + Phalloidin-647,P22 LIN8-0B-b2B-s1-ss1 AG4 LAMP1-488 + MitoRed + Phalloidin-647,P22 LIN8-0B-b2B-s1-ss2 AG3 LAMP1-488 + MitoRed + Phalloidin-647,P18 LIN6-0C-b1-s2 AG2 LAMP1-488 + MitoRed + Phalloidin-647,P14 LIN11-0C-b5 AG1 LAMP1-488 + MitoRed + Phalloidin-647,P13 LIN12-0C-b2-s2 AG0 LAMP1-488 + MitoRed + Phalloidin-647,P13 LIN12-0C-b2-s2 AG0 LMNB1-594 1:500 + Phalloidin-647
D,Doxo_P12 LIN11-0C-b5 AG9 LMNB1-594 1:750 + Phalloidin-647,Doxo_P12 LIN11-0C-b5 AG9 LAMP1-488 + MitoRed + Phalloidin-647,P34 LIN3-0A-b2-s1-ss1 AG8 LAMP1-488 + MitoRed + Phalloidin-647,P31 LIN3-0A-b2-s1-ss2 AG7 LAMP1-488 + MitoRed + Phalloidin-647,P29 LIN3-0A-b2-s2-ss1-sss1 AG6 LAMP1-488 + MitoRed + Phalloidin-647,P25 LIN7-0C-b3-s1 AG5 LAMP1-488 + MitoRed + Phalloidin-647,P22 LIN8-0B-b2B-s1-ss1 AG4 LAMP1-488 + MitoRed + Phalloidin-647,P22 LIN8-0B-b2B-s1-ss2 AG3 LAMP1-488 + MitoRed + Phalloidin-647,P18 LIN6-0C-b1-s2 AG2 LAMP1-488 + MitoRed + Phalloidin-647,P14 LIN11-0C-b5 AG1 LAMP1-488 + MitoRed + Phalloidin-647,P13 LIN12-0C-b2-s2 AG0 LAMP1-488 + MitoRed + Phalloidin-647,P13 LIN12-0C-b2-s2 AG0 LMNB1-594 1:750 + Phalloidin-647
E,Doxo_P12 LIN11-0C-b5 AG9 LMNB1&Ki67-594 1:250 + Phalloidin-647,Doxo_P12 LIN11-0C-b5 AG9 LAMP1-488 + MitoRed + Phalloidin-647,P34 LIN3-0A-b2-s1-ss1 AG8 LAMP1-488 + MitoRed + Phalloidin-647,P31 LIN3-0A-b2-s1-ss2 AG7 LAMP1-488 + MitoRed + Phalloidin-647,P29 LIN3-0A-b2-s2-ss1-sss1 AG6 LAMP1-488 + MitoRed + Phalloidin-647,P25 LIN7-0C-b3-s1 AG5 LAMP1-488 + MitoRed + Phalloidin-647,P22 LIN8-0B-b2B-s1-ss1 AG4 LAMP1-488 + MitoRed + Phalloidin-647,P22 LIN8-0B-b2B-s1-ss2 AG3 LAMP1-488 + MitoRed + Phalloidin-647,P18 LIN6-0C-b1-s2 AG2 LAMP1-488 + MitoRed + Phalloidin-647,P14 LIN11-0C-b5 AG1 LAMP1-488 + MitoRed + Phalloidin-647,P13 LIN12-0C-b2-s2 AG0 LAMP1-488 + MitoRed + Phalloidin-647,P13 LIN12-0C-b2-s2 AG0 LMNB1&Ki67-594 1:250 + Phalloidin-647
F,Doxo_P12 LIN11-0C-b5 AG9 LMNB1&Ki67-594 1:500 + Phalloidin-647,Doxo_P12 LIN11-0C-b5 AG9 LAMP1-488 + MitoRed + Phalloidin-647,P34 LIN3-0A-b2-s1-ss1 AG8 LAMP1-488 + MitoRed + Phalloidin-647,P31 LIN3-0A-b2-s1-ss2 AG7 LAMP1-488 + MitoRed + Phalloidin-647,P29 LIN3-0A-b2-s2-ss1-sss1 AG6 LAMP1-488 + MitoRed + Phalloidin-647,P25 LIN7-0C-b3-s1 AG5 LAMP1-488 + MitoRed + Phalloidin-647,P22 LIN8-0B-b2B-s1-ss1 AG4 LAMP1-488 + MitoRed + Phalloidin-647,P22 LIN8-0B-b2B-s1-ss2 AG3 LAMP1-488 + MitoRed + Phalloidin-647,P18 LIN6-0C-b1-s2 AG2 LAMP1-488 + MitoRed + Phalloidin-647,P14 LIN11-0C-b5 AG1 LAMP1-488 + MitoRed + Phalloidin-647,P13 LIN12-0C-b2-s2 AG0 LAMP1-488 + MitoRed + Phalloidin-647,P13 LIN12-0C-b2-s2 AG0 LMNB1&Ki67-594 1:500 + Phalloidin-647
G,Doxo_P12 LIN11-0C-b5 AG9 LMNB1&Ki67-594 1:750 + Phalloidin-647,Doxo_P12 LIN11-0C-b5 AG9 LAMP1-488 + MitoRed + Phalloidin-647,P34 LIN3-0A-b2-s1-ss1 AG8 LAMP1-488 + MitoRed + Phalloidin-647,P31 LIN3-0A-b2-s1-ss2 AG7 LAMP1-488 + MitoRed + Phalloidin-647,P29 LIN3-0A-b2-s2-ss1-sss1 AG6 LAMP1-488 + MitoRed + Phalloidin-647,P25 LIN7-0C-b3-s1 AG5 LAMP1-488 + MitoRed + Phalloidin-647,P22 LIN8-0B-b2B-s1-ss1 AG4 LAMP1-488 + MitoRed + Phalloidin-647,P22 LIN8-0B-b2B-s1-ss2 AG3 LAMP1-488 + MitoRed + Phalloidin-647,P18 LIN6-0C-b1-s2 AG2 LAMP1-488 + MitoRed + Phalloidin-647,P14 LIN11-0C-b5 AG1 LAMP1-488 + MitoRed + Phalloidin-647,P13 LIN12-0C-b2-s2 AG0 LAMP1-488 + MitoRed + Phalloidin-647,P13 LIN12-0C-b2-s2 AG0 LMNB1&Ki67-594 1:750 + Phalloidin-647
H,,,,,,,,,,,,
