Metadata_Well,Metadata_WellRow,Metadata_WellColumn,Metadata_Field,TimepointName,SerialPassage_BatchNumber,AgeGroup,PassageNumber,Staining,Drug
B03,2,3,19,SPB3 AG3 P14,3,3,14,LAMP1-488 + MitoRed + WGA-CF640R,None
B03,2,3,20,SPB3 AG3 P14,3,3,14,LAMP1-488 + MitoRed + WGA-CF640R,None
B03,2,3,21,SPB3 AG3 P14,3,3,14,LAMP1-488 + MitoRed + WGA-CF640R,None
B03,2,3,22,SPB3 AG3 P14,3,3,14,LAMP1-488 + MitoRed + WGA-CF640R,None
B03,2,3,23,SPB3 AG3 P14,3,3,14,LAMP1-488 + MitoRed + WGA-CF640R,None
B03,2,3,24,SPB3 AG3 P14,3,3,14,LAMP1-488 + MitoRed + WGA-CF640R,None
B03,2,3,25,SPB3 AG3 P14,3,3,14,LAMP1-488 + MitoRed + WGA-CF640R,None
B03,2,3,26,SPB3 AG3 P14,3,3,14,LAMP1-488 + MitoRed + WGA-CF640R,None
B03,2,3,27,SPB3 AG3 P14,3,3,14,LAMP1-488 + MitoRed + WGA-CF640R,None
B03,2,3,28,SPB3 AG3 P14,3,3,14,LAMP1-488 + MitoRed + WGA-CF640R,None
B03,2,3,29,SPB3 AG3 P14,3,3,14,LAMP1-488 + MitoRed + WGA-CF640R,None
B03,2,3,30,SPB3 AG3 P14,3,3,14,LAMP1-488 + MitoRed + WGA-CF640R,None
B03,2,3,31,SPB3 AG3 P14,3,3,14,LAMP1-488 + MitoRed + WGA-CF640R,None
B03,2,3,32,SPB3 AG3 P14,3,3,14,LAMP1-488 + MitoRed + WGA-CF640R,None
B03,2,3,33,SPB3 AG3 P14,3,3,14,LAMP1-488 + MitoRed + WGA-CF640R,None
B03,2,3,34,SPB3 AG3 P14,3,3,14,LAMP1-488 + MitoRed + WGA-CF640R,None
B03,2,3,35,SPB3 AG3 P14,3,3,14,LAMP1-488 + MitoRed + WGA-CF640R,None
B03,2,3,36,SPB3 AG3 P14,3,3,14,LAMP1-488 + MitoRed + WGA-CF640R,None
B03,2,3,37,SPB3 AG3 P14,3,3,14,LAMP1-488 + MitoRed + WGA-CF640R,None
B03,2,3,38,SPB3 AG3 P14,3,3,14,LAMP1-488 + MitoRed + WGA-CF640R,None
B03,2,3,39,SPB3 AG3 P14,3,3,14,LAMP1-488 + MitoRed + WGA-CF640R,None
B03,2,3,40,SPB3 AG3 P14,3,3,14,LAMP1-488 + MitoRed + WGA-CF640R,None
B04,2,4,1,SPB4 AG2 P12,4,2,12,LAMP1-488 + MitoRed + WGA-CF640R,None
B04,2,4,2,SPB4 AG2 P12,4,2,12,LAMP1-488 + MitoRed + WGA-CF640R,None
B04,2,4,3,SPB4 AG2 P12,4,2,12,LAMP1-488 + MitoRed + WGA-CF640R,None
B04,2,4,4,SPB4 AG2 P12,4,2,12,LAMP1-488 + MitoRed + WGA-CF640R,None
B04,2,4,5,SPB4 AG2 P12,4,2,12,LAMP1-488 + MitoRed + WGA-CF640R,None
B04,2,4,6,SPB4 AG2 P12,4,2,12,LAMP1-488 + MitoRed + WGA-CF640R,None
B04,2,4,7,SPB4 AG2 P12,4,2,12,LAMP1-488 + MitoRed + WGA-CF640R,None
B04,2,4,8,SPB4 AG2 P12,4,2,12,LAMP1-488 + MitoRed + WGA-CF640R,None
B04,2,4,9,SPB4 AG2 P12,4,2,12,LAMP1-488 + MitoRed + WGA-CF640R,None
B04,2,4,10,SPB4 AG2 P12,4,2,12,LAMP1-488 + MitoRed + WGA-CF640R,None
B04,2,4,11,SPB4 AG2 P12,4,2,12,LAMP1-488 + MitoRed + WGA-CF640R,None
B04,2,4,12,SPB4 AG2 P12,4,2,12,LAMP1-488 + MitoRed + WGA-CF640R,None
B04,2,4,13,SPB4 AG2 P12,4,2,12,LAMP1-488 + MitoRed + WGA-CF640R,None
B04,2,4,14,SPB4 AG2 P12,4,2,12,LAMP1-488 + MitoRed + WGA-CF640R,None
B04,2,4,15,SPB4 AG2 P12,4,2,12,LAMP1-488 + MitoRed + WGA-CF640R,None
B04,2,4,16,SPB4 AG2 P12,4,2,12,LAMP1-488 + MitoRed + WGA-CF640R,None
B04,2,4,17,SPB4 AG2 P12,4,2,12,LAMP1-488 + MitoRed + WGA-CF640R,None
B04,2,4,18,SPB4 AG2 P12,4,2,12,LAMP1-488 + MitoRed + WGA-CF640R,None
B04,2,4,19,SPB4 AG2 P12,4,2,12,LAMP1-488 + MitoRed + WGA-CF640R,None
B04,2,4,20,SPB4 AG2 P12,4,2,12,LAMP1-488 + MitoRed + WGA-CF640R,None
B04,2,4,21,SPB4 AG2 P12,4,2,12,LAMP1-488 + MitoRed + WGA-CF640R,None
B04,2,4,22,SPB4 AG2 P12,4,2,12,LAMP1-488 + MitoRed + WGA-CF640R,None
B04,2,4,23,SPB4 AG2 P12,4,2,12,LAMP1-488 + MitoRed + WGA-CF640R,None
B04,2,4,24,SPB4 AG2 P12,4,2,12,LAMP1-488 + MitoRed + WGA-CF640R,None
B04,2,4,25,SPB4 AG2 P12,4,2,12,LAMP1-488 + MitoRed + WGA-CF640R,None
B04,2,4,26,SPB4 AG2 P12,4,2,12,LAMP1-488 + MitoRed + WGA-CF640R,None
B04,2,4,27,SPB4 AG2 P12,4,2,12,LAMP1-488 + MitoRed + WGA-CF640R,None
B04,2,4,28,SPB4 AG2 P12,4,2,12,LAMP1-488 + MitoRed + WGA-CF640R,None
B04,2,4,29,SPB4 AG2 P12,4,2,12,LAMP1-488 + MitoRed + WGA-CF640R,None
