Plate_Number,Vessel_Name,Elapsed,Doxo_P19 LIN12-0C-b2-s2 ,P34 LIN3-0A-b2-s1-ss2 ,P33 LIN3-0A-b2-s2-ss1-ss1 ,P29 LIN2-0A-b1-s1-ss1 ,P25 LIN8-0B-b2B-s1-ss1 ,P25 LIN8-0B-b2B-s1-ss2 ,P24 LIN6-0C-b1-s2 ,P24 LIN7-0C-b3-s2 ,P21 LIN11-0C-b5 ,P20 LIN12-0C-b2-s2 ,P13 LIN11-0C-b5-s1 ,Blank 
7,20250501_AS_MRC-5_Confluence,4,6.2041381937499995,3.0434518500000003,13.885173187500001,12.4704509375,10.7418923125,10.111453749999999,11.6368563125,10.5389613125,19.277559375000003,20.3812475,20.132146874999997,0.66047291
7,20250501_AS_MRC-5_Confluence,6,6.6189674125,3.0877130375,13.9635925625,12.9099295625,10.945689375,10.148118125,12.316467,11.2124151875,19.301277499999998,20.8745775,21.0106725,0.41907677374999996
7,20250501_AS_MRC-5_Confluence,8,6.514730493749999,3.0850069625,14.0079055,13.427964687500001,11.144139625000001,10.4006408125,12.5761775625,11.4927019375,20.522983125000003,22.164663125,22.976055625,0.389592105
7,20250501_AS_MRC-5_Confluence,10,6.7397451437500004,3.1473353187499997,14.148814875,14.043283875000002,11.7773175,10.5493459375,13.117491375,12.000143249999999,21.35585875,23.93970875,25.550203125,0.378217331875
7,20250501_AS_MRC-5_Confluence,12,6.8474790812499995,3.0910379,14.742742875000001,14.8536129375,11.95122475,10.904173499999999,13.5301279375,12.6543235,22.711668125,25.188861250000002,27.922178125000002,0.38663418375
7,20250501_AS_MRC-5_Confluence,14,6.6669896125,3.0399860125,14.468533625,15.5564818125,12.598547250000001,11.347455499999999,14.0112515,12.827805937499999,23.984266875000003,26.693564375,29.449588749999997,0.42110420625
7,20250501_AS_MRC-5_Confluence,16,6.8337685375,2.95504050625,14.513678125,15.66311425,12.663563687500002,11.592295187500001,14.140298999999999,13.6732433125,24.498686874999997,28.192376250000002,30.57407,0.158802355
7,20250501_AS_MRC-5_Confluence,18,7.0932233375,2.87051288125,15.0771838125,16.250997812499996,13.1470196875,11.803448187500003,14.910346375000001,14.217724375,26.089190000000002,29.79495,32.843234375,0.2769971625
7,20250501_AS_MRC-5_Confluence,20,6.8884278000000005,2.892489925,15.312537249999998,16.7012621875,13.629345125,12.192613125000001,15.706222750000002,14.997421875,27.620944375,31.5573375,35.4553375,0.307787885
7,20250501_AS_MRC-5_Confluence,22,7.1141841687500005,2.88968161875,15.697972,17.3042771875,14.54711025,12.5030804375,16.24128825,15.153338437500002,28.976128125,33.2281225,39.202628125,0.318488255625
7,20250501_AS_MRC-5_Confluence,24,7.04340096875,2.784833625,15.706726250000003,18.308249562500002,14.867510124999999,13.2759056875,16.990773937500002,16.021714875,30.745917499999997,35.98637875,42.96971,0.329000780625
7,20250501_AS_MRC-5_Confluence,26,7.13907306875,2.99631376875,15.941220562499998,19.144687124999997,15.549276500000001,13.76420375,18.4767161875,16.570041687499998,32.68578,38.913526250000004,46.196868124999995,0.424527236875
7,20250501_AS_MRC-5_Confluence,28,7.093454625,2.8878291999999997,17.005857437499998,20.338676125,16.396787,14.667037375000001,19.345536062500003,17.2731826875,35.4395275,41.242780625,49.578534375000004,0.297219861875
7,20250501_AS_MRC-5_Confluence,30,7.29249281875,2.90114175625,17.151881500000002,21.3791650625,17.2472795,15.170109,19.996725375,18.32282125,37.819241250000005,44.19077875000001,52.907135625,0.303404459375
7,20250501_AS_MRC-5_Confluence,32,7.1273221187499995,2.86746151875,17.7862624375,22.36779175,17.46150475,15.7605605,20.8016605625,19.0330796875,40.040659999999995,46.775133749999995,57.54158687499999,0.28915724374999996
7,20250501_AS_MRC-5_Confluence,34,7.15295278125,2.9872311375000002,18.396650937500002,23.323269375000002,18.192991,16.106093,21.615245125,19.792484374999997,42.415426249999996,50.199726874999996,62.35492375000001,0.340529204375
7,20250501_AS_MRC-5_Confluence,36,7.19124374375,3.0662654000000003,18.794677999999998,24.265885625000003,18.758360437500002,16.6285489375,22.436169,20.5937726875,44.7639875,53.574525625,67.23680625,0.34154929624999997
7,20250501_AS_MRC-5_Confluence,38,7.003007456250001,3.081169975,19.041909000000004,25.765597500000002,19.51471325,17.127650187500002,23.26885625,21.724647875000002,47.41319875,56.894366875,72.54910562500001,0.298969818125
7,20250501_AS_MRC-5_Confluence,40,7.27617194375,3.1222767499999997,19.65100125,27.126216250000002,20.5631831875,17.5146,24.215760437500002,22.4703558125,49.84322,60.848184375,77.25901562500002,0.244887540625
7,20250501_AS_MRC-5_Confluence,42,7.1081245625000005,3.1064077812500006,19.988933250000002,28.387513125,21.11421,18.039335875,25.116767499999998,23.582496874999997,52.89211937499999,64.002180625,81.591386875,0.2802794125
7,20250501_AS_MRC-5_Confluence,44,7.40686730625,3.1412573562499997,20.2187203125,29.530293125,21.789444062500003,17.9052903125,26.50016375,24.815275,55.917065625000006,68.235863125,85.69488125000001,0.2998917625
7,20250501_AS_MRC-5_Confluence,46,7.3185592687500005,3.2329893249999997,20.659484625,31.384308749999995,22.137868375,18.5404309375,27.282976249999997,26.017023125,58.701072499999995,71.43886,89.16012125,0.253825146875
7,20250501_AS_MRC-5_Confluence,48,7.31201626875,3.3539245125,21.606389999999998,32.47937937499999,23.3638886875,19.457469250000003,28.566824375000003,26.729806250000003,62.031098125,75.319921875,92.29464875000001,0.5593765431250001
7,20250501_AS_MRC-5_Confluence,50,7.35174414375,3.27815531875,22.002919374999998,34.026083125,24.069322999999997,19.713782875,29.7424975,27.851040625000003,65.093145,78.8966725,94.455588125,0.353192933125
7,20250501_AS_MRC-5_Confluence,52,7.51781435,3.4922393875000006,22.951266375,35.4929575,25.038770624999998,20.29598875,30.764722499999998,28.722681875,68.747505625,82.099154375,96.24172687500001,0.43780981812499997
7,20250501_AS_MRC-5_Confluence,54,7.447288287500001,3.38930779375,22.941377125000002,37.630900000000004,25.5187210625,21.07577075,32.149630625,29.7540275,71.662586875,85.048375,97.317188125,0.438710469375
7,20250501_AS_MRC-5_Confluence,56,7.29781998125,3.6599924250000004,23.854822499999997,39.279650625,26.37753375,21.4344189375,33.21082375,30.341052499999996,74.036941875,87.46603437499999,98.24972625,0.243607094375
7,20250501_AS_MRC-5_Confluence,58,7.578564375,3.6994857874999996,24.25957875,41.603753125000004,26.903033125,22.1720016875,34.552458125,31.843413749999996,76.917635625,90.062451875,98.74656437499999,0.47771742562499997
7,20250501_AS_MRC-5_Confluence,60,7.5994787,3.7751397312500004,24.699758062500003,43.021567499999996,27.663163125,22.723720999999998,35.967930625,33.127320000000005,79.23108062499999,92.13070375,99.12431624999999,0.412572053125
7,20250501_AS_MRC-5_Confluence,62,7.652002375,3.82740794375,25.670361562500002,44.315443124999994,27.906919375,23.547730375,37.6491975,34.429508125,82.03228,93.3768825,99.381728125,0.40006191375
7,20250501_AS_MRC-5_Confluence,64,7.624345981249999,3.512585875,26.0951705625,46.56151625,28.600074375,23.880345687500004,39.12945062499999,35.626003125000004,83.95314625,94.674738125,99.54311750000001,0.25341112875000005
