Plate_Number,Vessel_Name,Elapsed,P20 LIN1-0B-b1 ,P17 LIN2-0A-b1 ,P14 LIN3-0A-b2 ,P12 LIN4-0B-b2 ,C1,P10 LIN5-0B-b3 
1,AS_MRC-5_20240313,4,19.0215375,22.5347838125,22.810855,22.5834899375,24.429848749999998,23.075944999999997
1,AS_MRC-5_20240313,8,19.447218125,23.34482275,25.686226875,24.3828139375,25.711645624999996,25.910548125
1,AS_MRC-5_20240313,12,20.560565624999995,26.030993249999998,28.256373125,27.886389375,27.864455624999998,28.965051874999997
1,AS_MRC-5_20240313,16,20.97856875,28.050720624999997,31.822134375,32.573476875,29.0388975,31.545244375
1,AS_MRC-5_20240313,20,23.355717499999997,31.098849375000004,36.87299625,37.160463750000005,31.524093125,37.53464375
1,AS_MRC-5_20240313,24,27.09159125,36.485384375,43.345735000000005,44.175900625,36.646546875000006,43.528735
1,AS_MRC-5_20240313,28,30.626635625,42.26229375,51.225705624999996,52.408280000000005,41.486141249999996,51.063596874999995
1,AS_MRC-5_20240313,32,36.5910325,50.00629375,61.99731125000001,61.837673125,49.2407325,61.869367499999996
1,AS_MRC-5_20240313,36,41.18954624999999,55.72781625,71.13748125000001,69.80762874999999,54.760633125,71.09985
1,AS_MRC-5_20240313,40,44.874226875000005,60.44432875,77.99995125000001,75.033126875,57.29799250000001,79.1422375
1,AS_MRC-5_20240313,44,49.176003124999994,64.706754375,85.63516562500001,80.062091875,62.49806812499999,86.34181625
1,AS_MRC-5_20240313,48,67.30590437500001,76.59046249999999,96.36093687500001,91.1832975,78.0157125,96.41740874999999
1,AS_MRC-5_20240313,52,65.55187875,77.5064375,96.35440875,92.61065687499999,75.18577125,97.19229312499999
1,AS_MRC-5_20240313,56,67.642528125,79.085091875,97.52252437499999,94.74350562499998,77.645170625,98.006920625
1,AS_MRC-5_20240313,60,69.41972312499999,82.72333375,98.0137825,96.217314375,79.409649375,98.39643374999999
1,AS_MRC-5_20240313,64,73.42075937500002,86.37039874999999,98.30079062499999,97.349011875,81.537856875,98.66605625
1,AS_MRC-5_20240313,68,74.98530375000001,88.973808125,98.527860625,97.785425,82.60144625000001,98.81902687499999
1,AS_MRC-5_20240313,72,92.664350625,97.18098125,99.880951875,99.790985,96.130793125,99.959864375
