Plate_Number,Vessel_Name,Elapsed,P25 LIN2-0A-b1-s1 ,P22 LIN3-0A-b2-s1 ,P20 LIN4-0B-b2A-s1 ,P18 LIN5-0B-b3-s1 ,P16 LIN6-0C-b1-s1 ,P13 LIN7-0C-b3 
3,AS_MRC-5_20241018,4,14.148160812499999,43.96416125,46.667081874999994,42.772593750000006,31.603123125000003,29.547335625000002
3,AS_MRC-5_20241018,6,12.9297349375,42.11840375,44.89015125,40.912076875,28.076298125,28.949310625
3,AS_MRC-5_20241018,8,14.4688275,46.95683124999999,51.911165624999995,46.672914375000005,33.612322500000005,33.93875875
3,AS_MRC-5_20241018,10,13.706638375,45.13110499999999,50.343014374999996,46.554612500000005,31.607803124999997,34.259326875
3,AS_MRC-5_20241018,12,15.584621375,50.940012499999995,58.99353000000001,54.064732500000005,38.35219125,40.77883625
3,AS_MRC-5_20241018,14,14.955103312499999,49.36753125,58.75884125,54.355384375,36.11986125,40.869626249999996
3,AS_MRC-5_20241018,16,16.7731734375,54.202988125000005,64.5842725,60.18216875,41.165665000000004,45.27671875
3,AS_MRC-5_20241018,18,15.876171124999999,52.69372812500001,64.501176875,58.938024375,39.64522625,46.016608125000005
3,AS_MRC-5_20241018,20,17.586742625,58.625405625,72.13204875000001,67.33694812499999,45.542291250000005,52.914338125
3,AS_MRC-5_20241018,22,16.562357499999997,57.87569562499999,71.3390175,66.754384375,43.015176875,53.6057325
3,AS_MRC-5_20241018,24,19.1816829375,66.14703937499999,80.89325,76.483660625,52.54277125,61.92452374999999
3,AS_MRC-5_20241018,26,18.3667536875,66.164000625,81.35140562500001,76.78055437500001,51.57477625,63.77623249999999
3,AS_MRC-5_20241018,28,21.073717000000002,73.706999375,88.7501625,84.73093625,60.53863,70.70782750000001
3,AS_MRC-5_20241018,30,20.5756925,73.628979375,88.45772687500002,84.70334,59.27387125,71.67114062499999
3,AS_MRC-5_20241018,32,24.108626875,83.10808125,94.683915625,91.9765175,71.42484375000001,79.95884187499999
3,AS_MRC-5_20241018,34,23.110184375000003,82.53314937500001,94.676800625,92.143609375,69.70129624999998,81.40003125
3,AS_MRC-5_20241018,36,27.083554375,89.8234425,97.823494375,96.598730625,79.251885,87.54847875
3,AS_MRC-5_20241018,38,25.943064375000002,89.56996312499999,97.845553125,96.400526875,78.55136124999999,88.510581875
3,AS_MRC-5_20241018,40,28.969621875,93.647125,99.12918187500001,98.30883875,85.74488125,92.282703125
3,AS_MRC-5_20241018,42,28.014670624999997,92.66364125000001,98.833025625,97.89438874999999,83.50906749999999,92.592176875
3,AS_MRC-5_20241018,44,30.740975624999997,96.240219375,99.57036812499999,99.15692187500001,90.10871625,95.689600625
3,AS_MRC-5_20241018,46,29.45734125,95.317704375,99.1859,98.71759062500001,88.03774375,95.78934749999999
3,AS_MRC-5_20241018,48,33.425107499999996,97.84735,99.70500375,99.522900625,94.00441749999999,97.816040625
3,AS_MRC-5_20241018,50,31.871299375,97.07740625,99.41071937500001,99.14224625,91.28622,97.3852575
3,AS_MRC-5_20241018,52,36.3405225,98.808694375,99.82892249999999,99.74440687500001,96.60716249999999,98.91095250000001
3,AS_MRC-5_20241018,54,34.983896875,98.03797187500001,99.554589375,99.398184375,94.9474025,98.548240625
3,AS_MRC-5_20241018,56,41.115301875,99.50909812500001,99.92695062500002,99.88616562499999,98.53784812500001,99.54313687499999
3,AS_MRC-5_20241018,58,38.538733125,99.062810625,99.744189375,99.67187812499999,97.268485625,99.33951125000002
3,AS_MRC-5_20241018,60,44.11118937500001,99.69425687500001,99.931579375,99.90982125,99.17623875000001,99.76291999999998
3,AS_MRC-5_20241018,62,42.554745,99.40270375,99.830275,99.777753125,98.24508312500001,99.67798687500002
3,AS_MRC-5_20241018,64,46.283280000000005,99.7436525,99.93637,99.89706687500001,99.160008125,99.8182075
3,AS_MRC-5_20241018,66,44.227865,99.485519375,99.75835437500001,99.721965,98.11867312500002,99.656868125
3,AS_MRC-5_20241018,68,57.76378187500001,99.97839562499999,99.994665,99.994626875,99.954023125,99.9609275
3,AS_MRC-5_20241018,70,56.301850625,99.94500375,99.981775,99.977225625,99.84237562499999,99.95839999999998
3,AS_MRC-5_20241018,72,57.456103750000004,99.91982875,99.97831062499999,99.9711225,99.80406250000001,99.960826875
