Plate_Number,Vessel_Name,Elapsed,Doxo_P12 LIN11-0C-b5 ,P34 LIN3-0A-b2-s1-ss1 ,P31 LIN3-0A-b2-s1-ss2 ,P29 LIN3-0A-b2-s2-ss1-ss1 ,P25 LIN7-0C-b3-s1 ,P22 LIN8-0B-b2B-s1-ss1 ,P22 LIN8-0B-b2B-s1-ss2 ,P18 LIN6-0C-b1-s2 ,P14 LIN11-0C-b5 ,P13 LIN12-0C-b2-s2 
6,20250410_AS_MRC5_Confluence_Rep6,4,15.082691875,3.530315625,16.203381875,18.483872499999997,7.3968933125,14.2217239375,16.171217249999998,13.339558,12.728318187500001,16.433906875
6,20250410_AS_MRC5_Confluence_Rep6,6,14.9420125,3.636333625,16.963723124999998,19.472288749999997,7.725872062499999,14.592284750000001,16.331074375,13.904290500000002,13.546701875,17.69787125
6,20250410_AS_MRC5_Confluence_Rep6,8,15.29568625,3.2063473625,16.68925875,19.16862875,7.526095,15.036548437499999,16.30688125,13.853195625000001,15.0973,19.19667
6,20250410_AS_MRC5_Confluence_Rep6,10,15.397888125000001,3.6344126874999994,16.703670000000002,20.32508625,7.5672359375,15.937610625,16.612506875,15.245771999999999,16.102969375,21.5133175
6,20250410_AS_MRC5_Confluence_Rep6,12,15.128215625000003,3.21989034375,17.18755375,20.704913125,7.6609318125,16.80695575,17.223523125,16.070930625,17.223895625,22.861895625000002
6,20250410_AS_MRC5_Confluence_Rep6,14,15.2285855625,3.46403086875,17.414225000000002,21.754033749999998,8.1464345625,17.631221875,17.88966125,17.336799999999997,18.5006075,24.34129625
6,20250410_AS_MRC5_Confluence_Rep6,16,15.338010625,3.0273947875,17.550069375,21.962085000000002,8.380075125000001,18.114304375000003,17.925014374999996,18.17806625,18.749956875,24.949644375
6,20250410_AS_MRC5_Confluence_Rep6,18,15.054183125000002,3.1123491249999997,17.995676250000002,22.39315,8.738804125,18.870268125000003,19.4210275,18.994088124999998,20.130724999999998,26.969855625
6,20250410_AS_MRC5_Confluence_Rep6,20,14.8219223125,3.144829625,18.194041249999998,23.056768124999998,8.872121625,20.153982499999998,19.883945624999996,19.618038124999998,21.685222500000002,29.413430625
6,20250410_AS_MRC5_Confluence_Rep6,22,15.07416,3.1651466249999998,18.60274625,24.081759375,8.9949253125,21.018659999999997,20.929236875,20.319840625,23.019716250000002,31.525868749999997
6,20250410_AS_MRC5_Confluence_Rep6,24,14.957385375,3.0498881875,19.02759,25.472358125,9.255810375000001,21.722463124999997,21.88706625,21.919029375,24.765750625,33.799374375
6,20250410_AS_MRC5_Confluence_Rep6,26,14.987173125,2.91401453125,19.508466875000003,26.81567375,9.491653312499999,23.010930625,22.936220624999997,23.826727500000004,26.710143125000002,36.027859375000006
