Plate_Number,Vessel_Name,Elapsed,Doxo_P17 LIN13-0C-b2-s3 ,P33 LIN3-0A-b2-s1-ss1 ,P32 LIN3-0A-b2-s1-ss1-sss1 ,P29 LIN3-0A-b2-s1-ss2 ,P27 LIN3-0A-b2-s2-ss1-sss1 ,P23 LIN7-0C-b3-s1 ,P19 LIN8-0B-b2B-s1-ss1 ,P19 LIN8-0B-b2B-s1-ss2 ,P15 LIN6-0C-b1-s2 ,P11 LIN11-0C-b5 
5,20250328_AS_MRC5_Confluence_Rep5,4,16.3620085,16.284699625000002,3.8062715000000003,52.372839375,30.993925624999996,17.925355,12.955632875,10.053677937500002,23.055114999999997,28.532845000000002
5,20250328_AS_MRC5_Confluence_Rep5,6,16.3468905,16.114841437499997,4.175769,54.852665625,32.826635625,18.5656475,13.96312,11.05193925,24.399849375000002,30.112865000000003
5,20250328_AS_MRC5_Confluence_Rep5,8,16.04288025,15.996503625,4.1636175,56.465019375,34.763528125,18.82954125,15.1347415625,12.143907625,26.653963125,32.810711875
5,20250328_AS_MRC5_Confluence_Rep5,10,16.2454325,16.1095490625,4.280088,58.10964812500001,35.6883325,19.376706249999998,16.398489374999997,13.037876937500002,27.829515,35.505901249999994
5,20250328_AS_MRC5_Confluence_Rep5,12,15.9458595625,16.0476435,4.363164125,59.721334375,37.80347375,19.920094374999998,17.459571250000003,14.000913999999998,29.685013124999998,38.305468125
5,20250328_AS_MRC5_Confluence_Rep5,14,15.706206125,15.499970812499999,4.5864715625,61.393688749999995,39.6515725,20.503794375,19.106136874999997,14.691801250000001,31.741145624999998,40.339365625
5,20250328_AS_MRC5_Confluence_Rep5,16,15.9859045,15.552984875,4.4101526875,63.19799875,41.845599375,21.195424374999998,20.136223125,15.441291249999999,33.500693749999996,42.279773750000004
5,20250328_AS_MRC5_Confluence_Rep5,18,15.727342125,15.490448875000002,4.6487014375,64.896844375,43.862629999999996,22.19984625,21.211334375,16.7304525,35.433760625,44.8154375
5,20250328_AS_MRC5_Confluence_Rep5,20,15.9800436875,15.302017500000002,4.609289375,66.663186875,45.731425625,23.134218124999997,22.475594375,17.7459275,37.490810624999995,48.201154374999994
5,20250328_AS_MRC5_Confluence_Rep5,22,15.6123393125,15.439422562499999,4.674908875,67.96442125,47.846856249999995,23.70141875,23.96254625,19.50031625,39.806610625000005,52.06964875
