Plate_Number,Vessel_Name,Elapsed,P11 LIN10-0C-b4 ,P15 LIN9-0C-b2-s1 ,P16 LIN8-0B-b2B-s1 ,P20 LIN7-0C-b3 ,P23 LIN6-0C-b1-s1 ,P24 LIN3-0A-b2-s2-ss1 
4,AS_MRC-5_20241112,4,52.532514375000005,55.83147125000001,55.806121875,41.067544375000004,19.464780062499997,14.138969250000002
4,AS_MRC-5_20241112,6,56.446313125,61.150816875000004,60.77086,44.637151875,19.9185018125,14.719276875
4,AS_MRC-5_20241112,8,59.730908125,64.60226750000001,64.960839375,48.417466874999995,20.992681937500002,15.8364081875
4,AS_MRC-5_20241112,10,63.41705125,67.85607937500001,68.85367687499999,52.069270625,22.39242375,16.789717125000003
4,AS_MRC-5_20241112,12,67.53473500000001,70.612598125,71.648328125,54.69258875,23.7509808125,17.2078411875
4,AS_MRC-5_20241112,14,72.408496875,74.2977875,74.75196937499999,58.58462625,24.91075525,18.1620348125
4,AS_MRC-5_20241112,16,78.22837375,78.413449375,79.714203125,62.4022,25.896309375,19.104642875
4,AS_MRC-5_20241112,18,83.13857687500001,82.30492249999999,83.82781750000001,67.11732,27.213946874999998,20.339529625
4,AS_MRC-5_20241112,20,87.21317125000002,85.23930125000001,87.50592875,70.891089375,28.39792,21.6703186875
4,AS_MRC-5_20241112,22,90.72339375000001,88.13825500000002,90.61748875,74.09224625,30.703608750000008,22.9695859375
4,AS_MRC-5_20241112,24,93.7707025,90.147645625,92.956723125,77.80436624999999,31.768164375,23.881944937500002
4,AS_MRC-5_20241112,26,95.73532937499999,91.89515750000001,94.76200875,80.613493125,33.857313749999996,25.599372875
4,AS_MRC-5_20241112,28,97.40867687500001,93.7755625,96.35128874999998,83.864986875,35.259235,26.982713374999996
4,AS_MRC-5_20241112,30,98.601386875,95.63670687499999,97.609175,86.973970625,36.940051874999995,28.405869437499998
4,AS_MRC-5_20241112,32,99.31595,96.990158125,98.61015187500001,89.554061875,38.871774375,30.198030250000002
4,AS_MRC-5_20241112,34,99.669808125,97.99775812499999,99.14012375,92.313166875,40.6498225,32.043267875
4,AS_MRC-5_20241112,36,99.84871187499999,98.8848875,99.548716875,94.34030625,43.297108125,34.280184937499996
4,AS_MRC-5_20241112,38,99.91866062499999,99.33456000000001,99.74937812499999,95.55886,44.993170625000005,36.2176656875
4,AS_MRC-5_20241112,40,99.936713125,99.62976375,99.87440875000001,96.7097775,47.19892062500001,38.25829387499999
4,AS_MRC-5_20241112,42,99.974623125,99.75541375,99.941815625,97.715623125,49.303650625,40.182379375
4,AS_MRC-5_20241112,44,99.98021625,99.844148125,99.964693125,98.248489375,51.098219375,42.33419175
4,AS_MRC-5_20241112,46,99.983198125,99.90712125,99.97829625,98.574300625,53.130756875,43.7435396875
4,AS_MRC-5_20241112,48,99.976785,99.93859187499999,99.98357625,99.035760625,55.220320625,45.203945187500004
4,AS_MRC-5_20241112,50,99.99085,99.95560375,99.98967375,99.10122062500001,57.628881875000005,46.85175449999999
4,AS_MRC-5_20241112,52,99.98687625,99.96143000000001,99.9922,99.282386875,59.27861250000001,47.9877461875
4,AS_MRC-5_20241112,54,99.97958625000001,99.96371875,99.99167875,99.47115625,61.417508125000005,48.927191500000006
4,AS_MRC-5_20241112,56,99.99136812500001,99.98113624999999,99.98487062500001,99.52944625,63.252582499999995,49.9464960625
4,AS_MRC-5_20241112,58,99.9897125,99.97163062500002,99.992075,99.648621875,64.843248125,50.836849
4,AS_MRC-5_20241112,60,99.991244375,99.989233125,99.99462,99.63853375,66.88840625,51.328809375
4,AS_MRC-5_20241112,62,99.987286875,99.98425062499999,99.991239375,99.647695,68.23972625,51.75013068749999
4,AS_MRC-5_20241112,64,99.99104812499999,99.982004375,99.99643499999999,99.63248250000001,69.699513125,52.2463649375
4,AS_MRC-5_20241112,66,99.985925625,99.98227,99.99532250000001,99.60845499999999,71.295730625,52.3226329375
4,AS_MRC-5_20241112,68,99.989063125,99.986559375,99.993156875,99.6203375,72.27684312500001,52.4860879375
4,AS_MRC-5_20241112,70,99.98337749999999,99.99059937499999,99.99348499999999,99.713758125,74.05020875,52.72205418750001
4,AS_MRC-5_20241112,72,99.9940575,99.99040375,99.990645625,99.748159375,75.157146875,52.8904113125
