,Plate_Name,Passage_Lineage,Passage_Number,Lineage,AllGroups,Doubling_Time_Trees,Exponential_Doubling_Rate_Trees,Selected_Times_Trees,Selected_Cell_Density_Trees,Doubling_Time_RANSAC,Exponential_Doubling_Rate_RANSAC,Selected_Times_RANSAC,Int_Plate,Int_Passage
53,Plate 7,P34 LIN3-0A-b2-s1-ss2,P34,LIN3-0A-b2-s1-ss2,P32-35,89.10876159186196,0.011222241024740344,[28.76 28.77 28.78 ... 71.97 71.98 71.99],[2.85622186 2.85644405 2.85666625 ... 3.99728679 3.99759774 3.99790871],98.33916942722443,0.010168888000829076,"[22 24 26 28 30 32 34 36 38 40 42 44 46 48 50 52 54 56 58 60 62 64 66 68
 70 72]",7,34
41,Plate 6,P31 LIN3-0A-b2-s1-ss2,P31,LIN3-0A-b2-s1-ss2,P28-31,38.70267049082231,0.02583801033153858,[20.76 20.77 20.78 ... 71.97 71.98 71.99],"[17.94102173 17.94423517 17.94744919 ... 44.89101019 44.89905069
 44.90709262]",43.67115457734401,0.022898409938508613,"[ 4  6  8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40 42 44 46 48 50
 52 54 56 58 60 62 64 66 68 70 72]",6,31
22,Plate 4,P24 LIN3-0A-b2-s2-ss1,P24,LIN3-0A-b2-s2-ss1,P22-24,25.860235618724875,0.038669407918152154,[0.000e+00 1.000e-02 2.000e-02 ... 4.999e+01 5.000e+01 5.001e+01],"[12.76022719 12.76364785 12.76706943 ... 48.72755108 48.74061356
 48.75367955]",32.893288082677294,0.030401338944483127,"[ 4  6  8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40 42 44 46 48 50
 52 54 56 58 60 62 64 66 68 70 72]",4,24
52,Plate 7,P33 LIN3-0A-b2-s2-ss1-ss1,P33,LIN3-0A-b2-s2-ss1-ss1,P32-35,57.50981713336428,0.017388335589400627,[15.27 15.28 15.29 ... 71.97 71.98 71.99],"[14.47790903 14.47965411 14.4813994  ... 28.67457065 28.67802691
 28.68148359]",61.1838527179386,0.016344181603111244,"[ 4  6  8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40 42 44 46 48 50
 52 54 56 58 60 62 64 66 68 70 72]",7,33
40,Plate 6,P29 LIN3-0A-b2-s2-ss1-ss1,P29,LIN3-0A-b2-s2-ss1-ss1,P28-31,32.39405726389469,0.030869859612014886,[13.26 13.27 13.28 ... 71.97 71.98 71.99],"[20.71026923 20.71470115 20.71913402 ... 72.73832812 72.75389386
 72.76946294]",33.435956985081724,0.029907922194246588,"[ 4  6  8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40 42 44 46 48 50
 52 54 56 58 60 62 64 66 68 70 72]",6,29
29,Plate 5,P27 LIN3-0A-b2-s2-ss1-sss1,P27,LIN3-0A-b2-s2-ss1-sss1,P25-27,28.00951772246069,0.035702149887361506,[0.000e+00 1.000e-02 2.000e-02 ... 4.724e+01 4.725e+01 4.726e+01],"[28.34054809 28.34756235 28.35457834 ... 91.22550422 91.24808245
 91.27066626]",32.604920839398645,0.030670217079369046,"[ 4  6  8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40 42 44 46 48 50
 52 54 56 58 60 62]",5,27
7,Plate 2,P15 LIN4-0B-b2,P15,LIN4-0B-b2,P13-15,23.829835372623844,0.04196420094235391,[0.000e+00 1.000e-02 2.000e-02 ... 5.399e+01 5.400e+01 5.401e+01],"[18.99672898 19.00225543 19.00778349 ... 91.34958869 91.37616375
 91.40274654]",27.547663396025733,0.036300719433949115,"[ 4  6  8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40 42 44 46 48 50
 52 54 56 58 60 62 64 66 68 70]",2,15
1,Plate 1,P12 LIN4-0B-b2,P12,LIN4-0B-b2,P6-12,22.97028992931687,0.043534496215640046,[0.000e+00 1.000e-02 2.000e-02 ... 4.449e+01 4.450e+01 4.451e+01],"[22.22099469 22.22770107 22.23440947 ... 85.0772343  85.10291092
 85.1285953 ]",32.19487644477302,0.031060842917518146,[ 4  8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72],1,12
14,Plate 3,P20 LIN4-0B-b2A-s1,P20,LIN4-0B-b2A-s1,P19-21,28.49155210175251,0.03509812299549978,[0.000e+00 1.000e-02 2.000e-02 ... 3.474e+01 3.475e+01 3.476e+01],"[42.84721137 42.85763658 42.86806433 ... 99.76336344 99.78763699
 99.81191644]",31.151953838290588,0.0321007152614243,[ 4  6  8 10 12 14 16 18 20 22 24 26 28 30 32 42],3,20
0,Plate 1,P10 LIN5-0B-b3,P10,LIN5-0B-b3,P6-12,22.162322428755857,0.045121624920612516,[0.000e+00 1.000e-02 2.000e-02 ... 4.449e+01 4.450e+01 4.451e+01],"[22.03979514 22.04668936 22.05358575 ... 88.61628866 88.64400856
 88.67173713]",31.662631260870352,0.03158297210869618,[ 4  8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72],1,10
