Elapsed,Doxo,P30,P27,P24,P20,P19,P17,P13,P10,P8
0,15.7267,4.763625,19.95217,22.72696,9.614003,18.64375,16.96852,12.64245,12.24468,15.25756
2,17.65444,5.711301,21.89256,24.83598,10.90286,20.52275,17.75441,13.80184,13.76589,16.87081
4,17.92628,6.576814,22.44559,25.62816,11.07991,21.13398,18.2796,14.71004,14.82591,18.19852
6,17.86937,7.298594,23.02368,26.33905,11.35074,21.52186,18.49699,15.34406,15.61468,19.30308
8,18.24201,6.429195,22.80576,26.18209,11.20851,21.9696,18.89398,16.27229,17.54696,21.21597
10,19.04426,7.447814,22.57238,27.53518,11.4709,23.02825,19.16316,16.93734,18.75558,23.5899
12,18.21722,7.068066,23.19316,27.84525,11.81535,23.85303,19.76462,18.32696,20.16053,25.16903
14,18.32672,7.731055,23.29708,28.88152,12.58107,24.81537,20.60795,18.96831,21.49653,26.75614
16,18.30054,6.29635,23.54108,28.91845,12.64674,25.26381,20.98162,20.24398,21.96793,27.85363
18,18.78785,6.596201,24.1395,29.57487,13.57535,26.16323,22.85118,21.33301,23.6824,29.82845
20,19.03637,7.445252,24.29938,30.05159,13.65322,27.50185,23.71737,21.84744,25.45566,32.47335
22,18.81483,7.799824,24.60482,31.08605,14.25134,28.28817,23.97602,22.72729,26.93826,34.83946
24,18.80947,7.925898,24.90592,32.45131,14.46349,29.10349,24.9574,24.53176,28.50871,37.10413
26,18.85649,8.395941,25.25366,33.84208,14.68353,30.26753,26.21623,26.70511,30.27409,39.42656
28,18.5646,7.832536,26.03158,35.08139,14.50769,31.51069,27.79537,28.46581,32.51359,41.9156
30,19.2333,8.371322,26.9271,36.47715,14.86,33.45714,29.23399,29.87658,34.67661,45.93349
32,19.36104,7.290061,27.64767,37.65249,15.00859,34.69814,30.85137,31.65471,37.36183,49.10791
34,20.06904,8.184945,28.48714,39.22098,15.61094,36.12418,31.97001,33.24841,39.82656,52.86679
36,19.62064,7.514883,29.33035,40.47228,15.71465,37.42563,33.55803,35.4292,42.53432,57.02956
38,20.35146,7.958468,30.3833,42.17831,16.47414,38.98854,35.19119,37.74455,45.37411,60.84985
40,21.35282,8.130243,31.38873,43.62443,16.71975,40.65068,36.50863,40.04351,48.37974,64.81963
42,20.93729,7.963807,32.3409,45.14007,16.93369,42.5285,37.89935,42.56111,51.478,69.00223
44,21.97005,7.062072,33.29317,47.00151,17.91928,44.88103,39.95668,44.9861,54.89629,73.5842
46,22.48579,8.309639,34.34224,48.02091,17.83272,46.27967,41.26107,47.59996,58.4821,78.14049
48,22.1894,7.391144,35.03211,50.18351,18.02951,48.74974,42.98544,50.76081,62.14862,82.96567
50,22.98509,7.925017,36.3537,51.83451,18.5061,50.43364,45.45453,53.01735,66.36955,86.93441
52,23.00268,7.297133,37.52893,53.69162,18.77123,51.96019,47.05827,56.5278,70.12955,90.56509
54,23.64931,6.652307,38.41491,55.73664,19.31568,53.93449,48.92345,59.28904,74.41395,93.60062
56,23.71868,6.239199,39.7163,57.35566,19.65848,56.17871,50.95903,62.45709,78.36439,95.81608
58,24.84489,7.506978,41.13403,59.56995,20.25673,58.28627,52.38913,66.24097,82.37878,97.5167
60,25.27027,7.021055,42.67397,61.35623,20.17596,60.4124,54.86281,69.27032,86.10022,98.45693
62,25.51023,7.548391,44.42984,63.84654,20.55521,62.78239,57.00763,72.33418,89.37812,99.13383
64,26.36012,7.698263,45.3274,65.61013,20.90504,65.01432,59.09496,75.62659,92.06747,99.48968
66,27.69883,8.052824,46.55968,67.47919,21.07766,67.79929,61.26348,78.07834,94.12143,99.73992
68,28.42351,8.060651,48.09044,69.85143,21.81966,69.95417,63.67511,80.91666,95.80604,99.86606
70,29.41604,8.23486,49.55776,71.76822,22.31297,72.30099,65.55588,83.70253,97.06364,99.91695
72,30.36589,7.773127,50.67232,73.70545,22.51237,74.18411,67.25478,85.86967,97.96634,99.94679
