,filter_type,columns,rows_initial,rows_removed,threshold,rows,Plate_Number
Number_of_Lysosomes_Filter,Min Number of Lysosomes Filter,3471,12652,3,min_compartments=0,12649.0,Plate 4
AreaShape_Area_Filter_Bottom,Cell Size Filter Bottom Band,3471,12649,416,Bottom threshold: 22768.0,12233.0,Plate 4
AreaShape_Area_Filter_Top,Cell Size Filter Top Band,3471,12649,0,Top threshold: 1254046.5,12233.0,Plate 4
Nuclei_AreaShape_Area_Filter_Bottom,Nuclear Size Filter Bottom Band,3471,12233,280,Bottom threshold: 9340.0,11950.0,Plate 4
Nuclei_AreaShape_Area_Filter_Top,Nuclear Size Filter Top Band,3471,12233,3,Top threshold: 98385.75,11950.0,Plate 4
Cell_Nuclei_Area_Ratio_Filter_Bottom,Cell:Nuclear Area Ratio Filter Bottom Band,3471,11950,281,Bottom threshold: 1.9243336199484091,11669.0,Plate 4
Cell_Nuclei_Area_Ratio_Filter_Top,Cell:Nuclear Area Ratio Filter Top Band,3471,11669,7,Top threshold: 20.530685742771166,11662.0,Plate 4
Nuclei_Intensity_MedianIntensity_DAPI_MAX_WellNormalized_Filter_Bottom,Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Bottom Band,3471,11662,1,Bottom threshold: 0.039916240540814656,11661.0,Plate 4
Nuclei_Intensity_MedianIntensity_DAPI_MAX_WellNormalized_Filter_Top,Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Top Band,3471,11661,3,Top threshold: 2.5,11658.0,Plate 4
Cell_Neighbours_Filter,Percent of Cell Touching Neighbours AND Number Of Neighbours < 97.5th Percentile,3471,11658,324,Max Percent Touching: 65.82167832167832 and Max Number Of Neighbours: 4.0,11334.0,Plate 4
Nuc_Neighbours_Filter,Number Of Nuclei Neighbours < 97.5th Percentile,3471,11334,29,Max Number Of Nuclei Neighbours: 1.0,11305.0,Plate 4
Initial_Dataset,Initial Dataset,3471,12551,0,"None,None",,Plate 5
Number_of_Mitochondria_Filter,Min Number of Mitochondria Filter,3471,12551,6,min_compartments=0,12545.0,Plate 5
Number_of_Lysosomes_Filter,Min Number of Lysosomes Filter,3471,12545,2,min_compartments=0,12543.0,Plate 5
AreaShape_Area_Filter_Bottom,Cell Size Filter Bottom Band,3471,12543,315,Bottom threshold: 22768.0,12226.0,Plate 5
AreaShape_Area_Filter_Top,Cell Size Filter Top Band,3471,12543,2,Top threshold: 1254046.5,12226.0,Plate 5
Nuclei_AreaShape_Area_Filter_Bottom,Nuclear Size Filter Bottom Band,3471,12226,196,Bottom threshold: 9340.0,12013.0,Plate 5
Nuclei_AreaShape_Area_Filter_Top,Nuclear Size Filter Top Band,3471,12226,17,Top threshold: 98385.75,12013.0,Plate 5
Cell_Nuclei_Area_Ratio_Filter_Bottom,Cell:Nuclear Area Ratio Filter Bottom Band,3471,12013,481,Bottom threshold: 1.9243336199484091,11532.0,Plate 5
Cell_Nuclei_Area_Ratio_Filter_Top,Cell:Nuclear Area Ratio Filter Top Band,3471,11532,8,Top threshold: 20.530685742771166,11524.0,Plate 5
Nuclei_Intensity_MedianIntensity_DAPI_MAX_WellNormalized_Filter_Bottom,Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Bottom Band,3471,11524,1,Bottom threshold: 0.05908507649831327,11523.0,Plate 5
Nuclei_Intensity_MedianIntensity_DAPI_MAX_WellNormalized_Filter_Top,Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Top Band,3471,11523,21,Top threshold: 2.5,11502.0,Plate 5
Cell_Neighbours_Filter,Percent of Cell Touching Neighbours AND Number Of Neighbours < 97.5th Percentile,3471,11502,1189,Max Percent Touching: 65.82167832167832 and Max Number Of Neighbours: 4.0,10313.0,Plate 5
Nuc_Neighbours_Filter,Number Of Nuclei Neighbours < 97.5th Percentile,3471,10313,28,Max Number Of Nuclei Neighbours: 1.0,10285.0,Plate 5
Initial_Dataset,Initial Dataset,3471,11745,0,"None,None",,Plate 6
Number_of_Mitochondria_Filter,Min Number of Mitochondria Filter,3471,11745,4,min_compartments=0,11741.0,Plate 6
Number_of_Lysosomes_Filter,Min Number of Lysosomes Filter,3471,11741,0,min_compartments=0,11741.0,Plate 6
AreaShape_Area_Filter_Bottom,Cell Size Filter Bottom Band,3471,11741,245,Bottom threshold: 22768.0,11485.0,Plate 6
AreaShape_Area_Filter_Top,Cell Size Filter Top Band,3471,11741,11,Top threshold: 1254046.5,11485.0,Plate 6
Nuclei_AreaShape_Area_Filter_Bottom,Nuclear Size Filter Bottom Band,3471,11485,138,Bottom threshold: 9340.0,11328.0,Plate 6
Nuclei_AreaShape_Area_Filter_Top,Nuclear Size Filter Top Band,3471,11485,19,Top threshold: 98385.75,11328.0,Plate 6
Cell_Nuclei_Area_Ratio_Filter_Bottom,Cell:Nuclear Area Ratio Filter Bottom Band,3471,11328,377,Bottom threshold: 1.9243336199484091,10951.0,Plate 6
Cell_Nuclei_Area_Ratio_Filter_Top,Cell:Nuclear Area Ratio Filter Top Band,3471,10951,19,Top threshold: 20.530685742771166,10932.0,Plate 6
Nuclei_Intensity_MedianIntensity_DAPI_MAX_WellNormalized_Filter_Bottom,Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Bottom Band,3471,10932,1,Bottom threshold: 0.03881498480125018,10931.0,Plate 6
Nuclei_Intensity_MedianIntensity_DAPI_MAX_WellNormalized_Filter_Top,Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Top Band,3471,10931,8,Top threshold: 2.5,10923.0,Plate 6
Cell_Neighbours_Filter,Percent of Cell Touching Neighbours AND Number Of Neighbours < 97.5th Percentile,3471,10923,493,Max Percent Touching: 65.82167832167832 and Max Number Of Neighbours: 4.0,10430.0,Plate 6
Nuc_Neighbours_Filter,Number Of Nuclei Neighbours < 97.5th Percentile,3471,10430,28,Max Number Of Nuclei Neighbours: 1.0,10402.0,Plate 6
Initial_Dataset,Initial Dataset,3471,8313,0,"None,None",,Plate 7
Number_of_Mitochondria_Filter,Min Number of Mitochondria Filter,3471,8313,1,min_compartments=0,8312.0,Plate 7
Number_of_Lysosomes_Filter,Min Number of Lysosomes Filter,3471,8312,0,min_compartments=0,8312.0,Plate 7
AreaShape_Area_Filter_Bottom,Cell Size Filter Bottom Band,3471,8312,39,Bottom threshold: 22768.0,8248.0,Plate 7
AreaShape_Area_Filter_Top,Cell Size Filter Top Band,3471,8312,25,Top threshold: 1254046.5,8248.0,Plate 7
Nuclei_AreaShape_Area_Filter_Bottom,Nuclear Size Filter Bottom Band,3471,8248,101,Bottom threshold: 9340.0,8122.0,Plate 7
Nuclei_AreaShape_Area_Filter_Top,Nuclear Size Filter Top Band,3471,8248,25,Top threshold: 98385.75,8122.0,Plate 7
Cell_Nuclei_Area_Ratio_Filter_Bottom,Cell:Nuclear Area Ratio Filter Bottom Band,3471,8122,50,Bottom threshold: 1.9243336199484091,8072.0,Plate 7
Cell_Nuclei_Area_Ratio_Filter_Top,Cell:Nuclear Area Ratio Filter Top Band,3471,8072,26,Top threshold: 20.530685742771166,8046.0,Plate 7
Nuclei_Intensity_MedianIntensity_DAPI_MAX_WellNormalized_Filter_Bottom,Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Bottom Band,3471,8046,1,Bottom threshold: 0.02651916403099086,8045.0,Plate 7
Nuclei_Intensity_MedianIntensity_DAPI_MAX_WellNormalized_Filter_Top,Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Top Band,3471,8045,22,Top threshold: 2.5,8023.0,Plate 7
Cell_Neighbours_Filter,Percent of Cell Touching Neighbours AND Number Of Neighbours < 97.5th Percentile,3471,8023,356,Max Percent Touching: 65.82167832167832 and Max Number Of Neighbours: 4.0,7667.0,Plate 7
Nuc_Neighbours_Filter,Number Of Nuclei Neighbours < 97.5th Percentile,3471,7667,7,Max Number Of Nuclei Neighbours: 1.0,7660.0,Plate 7
