,filter_type,columns,rows_initial,rows_removed,threshold,rows,AllGroups
Nuclei_Intensity_MedianIntensity_DAPI_MAX_WellNormalized_Filter_Top,Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Top Band,3471,11471,4,Top threshold: 2.5,11467.0,P16-18
Cell_Neighbours_Filter,Percent of Cell Touching Neighbours AND Number Of Neighbours < 97.5th Percentile,3471,11467,887,Max Percent Touching: 65.82167832167832 and Max Number Of Neighbours: 4.0,10580.0,P16-18
Nuc_Neighbours_Filter,Number Of Nuclei Neighbours < 97.5th Percentile,3471,10580,26,Max Number Of Nuclei Neighbours: 1.0,10554.0,P16-18
Initial_Dataset,Initial Dataset,3471,12648,0,"None,None",,P19-21
Number_of_Mitochondria_Filter,Min Number of Mitochondria Filter,3471,12648,4,min_compartments=0,12644.0,P19-21
Number_of_Lysosomes_Filter,Min Number of Lysosomes Filter,3471,12644,2,min_compartments=0,12642.0,P19-21
AreaShape_Area_Filter_Bottom,Cell Size Filter Bottom Band,3471,12642,174,Bottom threshold: 22768.0,12465.0,P19-21
AreaShape_Area_Filter_Top,Cell Size Filter Top Band,3471,12642,3,Top threshold: 1254046.5,12465.0,P19-21
Nuclei_AreaShape_Area_Filter_Bottom,Nuclear Size Filter Bottom Band,3471,12465,157,Bottom threshold: 9340.0,12298.0,P19-21
Nuclei_AreaShape_Area_Filter_Top,Nuclear Size Filter Top Band,3471,12465,10,Top threshold: 98385.75,12298.0,P19-21
Cell_Nuclei_Area_Ratio_Filter_Bottom,Cell:Nuclear Area Ratio Filter Bottom Band,3471,12298,176,Bottom threshold: 1.9243336199484091,12122.0,P19-21
Cell_Nuclei_Area_Ratio_Filter_Top,Cell:Nuclear Area Ratio Filter Top Band,3471,12122,14,Top threshold: 20.530685742771166,12108.0,P19-21
Nuclei_Intensity_MedianIntensity_DAPI_MAX_WellNormalized_Filter_Bottom,Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Bottom Band,3471,12108,1,Bottom threshold: 0.03946063217693988,12107.0,P19-21
Nuclei_Intensity_MedianIntensity_DAPI_MAX_WellNormalized_Filter_Top,Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Top Band,3471,12107,11,Top threshold: 2.5,12096.0,P19-21
Cell_Neighbours_Filter,Percent of Cell Touching Neighbours AND Number Of Neighbours < 97.5th Percentile,3471,12096,847,Max Percent Touching: 65.82167832167832 and Max Number Of Neighbours: 4.0,11249.0,P19-21
Nuc_Neighbours_Filter,Number Of Nuclei Neighbours < 97.5th Percentile,3471,11249,17,Max Number Of Nuclei Neighbours: 1.0,11232.0,P19-21
Initial_Dataset,Initial Dataset,3471,10985,0,"None,None",,P22-24
Number_of_Mitochondria_Filter,Min Number of Mitochondria Filter,3471,10985,6,min_compartments=0,10979.0,P22-24
Number_of_Lysosomes_Filter,Min Number of Lysosomes Filter,3471,10979,2,min_compartments=0,10977.0,P22-24
AreaShape_Area_Filter_Bottom,Cell Size Filter Bottom Band,3471,10977,160,Bottom threshold: 22768.0,10809.0,P22-24
AreaShape_Area_Filter_Top,Cell Size Filter Top Band,3471,10977,8,Top threshold: 1254046.5,10809.0,P22-24
