Image_ID,Well_ID,Well,Row,Col,Field_ID,Field,PositionX,PositionY,PositionZ,PositionX (um),PositionX (pixels),PositionY (um),PositionY (pixels),PositionZ (um),PositionZ (pixels),min_bbox_PositionX (um),max_bbox_PositionX (um),min_bbox_PositionY (um),max_bbox_PositionY (um),bbox_coords
0202K1F11P6R4,0202,B02,2,2,F11,11,-0.001845183,0.001845184,4e-06,-1845.183,-19439.996,1845.184,19440.007,4.0,42.142,-1947.6931853068734,-1742.6728146931266,1742.6738146931266,1947.6941853068734,"-1947.7,1742.7,-1742.7,1947.7"
0202K1F11P7R1,0202,B02,2,2,F11,11,-0.001845183,0.001845184,5e-06,-1845.183,-19439.996,1845.184,19440.007,5.0,52.678,-1947.6931853068734,-1742.6728146931266,1742.6738146931266,1947.6941853068734,"-1947.7,1742.7,-1742.7,1947.7"
0202K1F11P7R2,0202,B02,2,2,F11,11,-0.001845183,0.001845184,5e-06,-1845.183,-19439.996,1845.184,19440.007,5.0,52.678,-1947.6931853068734,-1742.6728146931266,1742.6738146931266,1947.6941853068734,"-1947.7,1742.7,-1742.7,1947.7"
0202K1F11P7R3,0202,B02,2,2,F11,11,-0.001845183,0.001845184,5e-06,-1845.183,-19439.996,1845.184,19440.007,5.0,52.678,-1947.6931853068734,-1742.6728146931266,1742.6738146931266,1947.6941853068734,"-1947.7,1742.7,-1742.7,1947.7"
0202K1F11P7R4,0202,B02,2,2,F11,11,-0.001845183,0.001845184,5e-06,-1845.183,-19439.996,1845.184,19440.007,5.0,52.678,-1947.6931853068734,-1742.6728146931266,1742.6738146931266,1947.6941853068734,"-1947.7,1742.7,-1742.7,1947.7"
0202K1F12P1R1,0202,B02,2,2,F12,12,-0.001845183,0.001640163,-1e-06,-1845.183,-19439.996,1640.163,17280.0,-1.0,-10.536,-1947.6931853068734,-1742.6728146931266,1537.6528146931266,1742.6731853068734,"-1947.7,1537.7,-1742.7,1742.7"
0202K1F12P1R2,0202,B02,2,2,F12,12,-0.001845183,0.001640163,-1e-06,-1845.183,-19439.996,1640.163,17280.0,-1.0,-10.536,-1947.6931853068734,-1742.6728146931266,1537.6528146931266,1742.6731853068734,"-1947.7,1537.7,-1742.7,1742.7"
0202K1F12P1R3,0202,B02,2,2,F12,12,-0.001845183,0.001640163,-1e-06,-1845.183,-19439.996,1640.163,17280.0,-1.0,-10.536,-1947.6931853068734,-1742.6728146931266,1537.6528146931266,1742.6731853068734,"-1947.7,1537.7,-1742.7,1742.7"
0202K1F12P1R4,0202,B02,2,2,F12,12,-0.001845183,0.001640163,-1e-06,-1845.183,-19439.996,1640.163,17280.0,-1.0,-10.536,-1947.6931853068734,-1742.6728146931266,1537.6528146931266,1742.6731853068734,"-1947.7,1537.7,-1742.7,1742.7"
0202K1F12P2R1,0202,B02,2,2,F12,12,-0.001845183,0.001640163,0.0,-1845.183,-19439.996,1640.163,17280.0,0.0,0.0,-1947.6931853068734,-1742.6728146931266,1537.6528146931266,1742.6731853068734,"-1947.7,1537.7,-1742.7,1742.7"
0202K1F12P2R2,0202,B02,2,2,F12,12,-0.001845183,0.001640163,0.0,-1845.183,-19439.996,1640.163,17280.0,0.0,0.0,-1947.6931853068734,-1742.6728146931266,1537.6528146931266,1742.6731853068734,"-1947.7,1537.7,-1742.7,1742.7"
0202K1F12P2R3,0202,B02,2,2,F12,12,-0.001845183,0.001640163,0.0,-1845.183,-19439.996,1640.163,17280.0,0.0,0.0,-1947.6931853068734,-1742.6728146931266,1537.6528146931266,1742.6731853068734,"-1947.7,1537.7,-1742.7,1742.7"
0202K1F12P2R4,0202,B02,2,2,F12,12,-0.001845183,0.001640163,0.0,-1845.183,-19439.996,1640.163,17280.0,0.0,0.0,-1947.6931853068734,-1742.6728146931266,1537.6528146931266,1742.6731853068734,"-1947.7,1537.7,-1742.7,1742.7"
0202K1F12P3R1,0202,B02,2,2,F12,12,-0.001845183,0.001640163,1e-06,-1845.183,-19439.996,1640.163,17280.0,1.0,10.536,-1947.6931853068734,-1742.6728146931266,1537.6528146931266,1742.6731853068734,"-1947.7,1537.7,-1742.7,1742.7"
0202K1F12P3R2,0202,B02,2,2,F12,12,-0.001845183,0.001640163,1e-06,-1845.183,-19439.996,1640.163,17280.0,1.0,10.536,-1947.6931853068734,-1742.6728146931266,1537.6528146931266,1742.6731853068734,"-1947.7,1537.7,-1742.7,1742.7"
0202K1F12P3R3,0202,B02,2,2,F12,12,-0.001845183,0.001640163,1e-06,-1845.183,-19439.996,1640.163,17280.0,1.0,10.536,-1947.6931853068734,-1742.6728146931266,1537.6528146931266,1742.6731853068734,"-1947.7,1537.7,-1742.7,1742.7"
0202K1F12P3R4,0202,B02,2,2,F12,12,-0.001845183,0.001640163,1e-06,-1845.183,-19439.996,1640.163,17280.0,1.0,10.536,-1947.6931853068734,-1742.6728146931266,1537.6528146931266,1742.6731853068734,"-1947.7,1537.7,-1742.7,1742.7"
0202K1F12P4R1,0202,B02,2,2,F12,12,-0.001845183,0.001640163,2e-06,-1845.183,-19439.996,1640.163,17280.0,2.0,21.071,-1947.6931853068734,-1742.6728146931266,1537.6528146931266,1742.6731853068734,"-1947.7,1537.7,-1742.7,1742.7"
0202K1F12P4R2,0202,B02,2,2,F12,12,-0.001845183,0.001640163,2e-06,-1845.183,-19439.996,1640.163,17280.0,2.0,21.071,-1947.6931853068734,-1742.6728146931266,1537.6528146931266,1742.6731853068734,"-1947.7,1537.7,-1742.7,1742.7"
0202K1F12P4R3,0202,B02,2,2,F12,12,-0.001845183,0.001640163,2e-06,-1845.183,-19439.996,1640.163,17280.0,2.0,21.071,-1947.6931853068734,-1742.6728146931266,1537.6528146931266,1742.6731853068734,"-1947.7,1537.7,-1742.7,1742.7"
0202K1F12P4R4,0202,B02,2,2,F12,12,-0.001845183,0.001640163,2e-06,-1845.183,-19439.996,1640.163,17280.0,2.0,21.071,-1947.6931853068734,-1742.6728146931266,1537.6528146931266,1742.6731853068734,"-1947.7,1537.7,-1742.7,1742.7"
0202K1F12P5R1,0202,B02,2,2,F12,12,-0.001845183,0.001640163,3e-06,-1845.183,-19439.996,1640.163,17280.0,3.0,31.607,-1947.6931853068734,-1742.6728146931266,1537.6528146931266,1742.6731853068734,"-1947.7,1537.7,-1742.7,1742.7"
0202K1F12P5R2,0202,B02,2,2,F12,12,-0.001845183,0.001640163,3e-06,-1845.183,-19439.996,1640.163,17280.0,3.0,31.607,-1947.6931853068734,-1742.6728146931266,1537.6528146931266,1742.6731853068734,"-1947.7,1537.7,-1742.7,1742.7"
0202K1F12P5R3,0202,B02,2,2,F12,12,-0.001845183,0.001640163,3e-06,-1845.183,-19439.996,1640.163,17280.0,3.0,31.607,-1947.6931853068734,-1742.6728146931266,1537.6528146931266,1742.6731853068734,"-1947.7,1537.7,-1742.7,1742.7"
0202K1F12P5R4,0202,B02,2,2,F12,12,-0.001845183,0.001640163,3e-06,-1845.183,-19439.996,1640.163,17280.0,3.0,31.607,-1947.6931853068734,-1742.6728146931266,1537.6528146931266,1742.6731853068734,"-1947.7,1537.7,-1742.7,1742.7"
0202K1F12P6R1,0202,B02,2,2,F12,12,-0.001845183,0.001640163,4e-06,-1845.183,-19439.996,1640.163,17280.0,4.0,42.142,-1947.6931853068734,-1742.6728146931266,1537.6528146931266,1742.6731853068734,"-1947.7,1537.7,-1742.7,1742.7"
0202K1F12P6R2,0202,B02,2,2,F12,12,-0.001845183,0.001640163,4e-06,-1845.183,-19439.996,1640.163,17280.0,4.0,42.142,-1947.6931853068734,-1742.6728146931266,1537.6528146931266,1742.6731853068734,"-1947.7,1537.7,-1742.7,1742.7"
0202K1F12P6R3,0202,B02,2,2,F12,12,-0.001845183,0.001640163,4e-06,-1845.183,-19439.996,1640.163,17280.0,4.0,42.142,-1947.6931853068734,-1742.6728146931266,1537.6528146931266,1742.6731853068734,"-1947.7,1537.7,-1742.7,1742.7"
0202K1F12P6R4,0202,B02,2,2,F12,12,-0.001845183,0.001640163,4e-06,-1845.183,-19439.996,1640.163,17280.0,4.0,42.142,-1947.6931853068734,-1742.6728146931266,1537.6528146931266,1742.6731853068734,"-1947.7,1537.7,-1742.7,1742.7"
0202K1F12P7R1,0202,B02,2,2,F12,12,-0.001845183,0.001640163,5e-06,-1845.183,-19439.996,1640.163,17280.0,5.0,52.678,-1947.6931853068734,-1742.6728146931266,1537.6528146931266,1742.6731853068734,"-1947.7,1537.7,-1742.7,1742.7"
0202K1F12P7R2,0202,B02,2,2,F12,12,-0.001845183,0.001640163,5e-06,-1845.183,-19439.996,1640.163,17280.0,5.0,52.678,-1947.6931853068734,-1742.6728146931266,1537.6528146931266,1742.6731853068734,"-1947.7,1537.7,-1742.7,1742.7"
0202K1F12P7R3,0202,B02,2,2,F12,12,-0.001845183,0.001640163,5e-06,-1845.183,-19439.996,1640.163,17280.0,5.0,52.678,-1947.6931853068734,-1742.6728146931266,1537.6528146931266,1742.6731853068734,"-1947.7,1537.7,-1742.7,1742.7"
0202K1F12P7R4,0202,B02,2,2,F12,12,-0.001845183,0.001640163,5e-06,-1845.183,-19439.996,1640.163,17280.0,5.0,52.678,-1947.6931853068734,-1742.6728146931266,1537.6528146931266,1742.6731853068734,"-1947.7,1537.7,-1742.7,1742.7"
0202K1F13P1R1,0202,B02,2,2,F13,13,-0.001640163,0.001640163,-1e-06,-1640.163,-17280.0,1640.163,17280.0,-1.0,-10.536,-1742.6731853068734,-1537.6528146931266,1537.6528146931266,1742.6731853068734,"-1742.7,1537.7,-1537.7,1742.7"
0202K1F13P1R2,0202,B02,2,2,F13,13,-0.001640163,0.001640163,-1e-06,-1640.163,-17280.0,1640.163,17280.0,-1.0,-10.536,-1742.6731853068734,-1537.6528146931266,1537.6528146931266,1742.6731853068734,"-1742.7,1537.7,-1537.7,1742.7"
0202K1F13P1R3,0202,B02,2,2,F13,13,-0.001640163,0.001640163,-1e-06,-1640.163,-17280.0,1640.163,17280.0,-1.0,-10.536,-1742.6731853068734,-1537.6528146931266,1537.6528146931266,1742.6731853068734,"-1742.7,1537.7,-1537.7,1742.7"
0202K1F13P1R4,0202,B02,2,2,F13,13,-0.001640163,0.001640163,-1e-06,-1640.163,-17280.0,1640.163,17280.0,-1.0,-10.536,-1742.6731853068734,-1537.6528146931266,1537.6528146931266,1742.6731853068734,"-1742.7,1537.7,-1537.7,1742.7"
0202K1F13P2R1,0202,B02,2,2,F13,13,-0.001640163,0.001640163,0.0,-1640.163,-17280.0,1640.163,17280.0,0.0,0.0,-1742.6731853068734,-1537.6528146931266,1537.6528146931266,1742.6731853068734,"-1742.7,1537.7,-1537.7,1742.7"
0202K1F13P2R2,0202,B02,2,2,F13,13,-0.001640163,0.001640163,0.0,-1640.163,-17280.0,1640.163,17280.0,0.0,0.0,-1742.6731853068734,-1537.6528146931266,1537.6528146931266,1742.6731853068734,"-1742.7,1537.7,-1537.7,1742.7"
0202K1F13P2R3,0202,B02,2,2,F13,13,-0.001640163,0.001640163,0.0,-1640.163,-17280.0,1640.163,17280.0,0.0,0.0,-1742.6731853068734,-1537.6528146931266,1537.6528146931266,1742.6731853068734,"-1742.7,1537.7,-1537.7,1742.7"
0202K1F13P2R4,0202,B02,2,2,F13,13,-0.001640163,0.001640163,0.0,-1640.163,-17280.0,1640.163,17280.0,0.0,0.0,-1742.6731853068734,-1537.6528146931266,1537.6528146931266,1742.6731853068734,"-1742.7,1537.7,-1537.7,1742.7"
0202K1F13P3R1,0202,B02,2,2,F13,13,-0.001640163,0.001640163,1e-06,-1640.163,-17280.0,1640.163,17280.0,1.0,10.536,-1742.6731853068734,-1537.6528146931266,1537.6528146931266,1742.6731853068734,"-1742.7,1537.7,-1537.7,1742.7"
0202K1F13P3R2,0202,B02,2,2,F13,13,-0.001640163,0.001640163,1e-06,-1640.163,-17280.0,1640.163,17280.0,1.0,10.536,-1742.6731853068734,-1537.6528146931266,1537.6528146931266,1742.6731853068734,"-1742.7,1537.7,-1537.7,1742.7"
0202K1F13P3R3,0202,B02,2,2,F13,13,-0.001640163,0.001640163,1e-06,-1640.163,-17280.0,1640.163,17280.0,1.0,10.536,-1742.6731853068734,-1537.6528146931266,1537.6528146931266,1742.6731853068734,"-1742.7,1537.7,-1537.7,1742.7"
0202K1F13P3R4,0202,B02,2,2,F13,13,-0.001640163,0.001640163,1e-06,-1640.163,-17280.0,1640.163,17280.0,1.0,10.536,-1742.6731853068734,-1537.6528146931266,1537.6528146931266,1742.6731853068734,"-1742.7,1537.7,-1537.7,1742.7"
0202K1F13P4R1,0202,B02,2,2,F13,13,-0.001640163,0.001640163,2e-06,-1640.163,-17280.0,1640.163,17280.0,2.0,21.071,-1742.6731853068734,-1537.6528146931266,1537.6528146931266,1742.6731853068734,"-1742.7,1537.7,-1537.7,1742.7"
0202K1F13P4R2,0202,B02,2,2,F13,13,-0.001640163,0.001640163,2e-06,-1640.163,-17280.0,1640.163,17280.0,2.0,21.071,-1742.6731853068734,-1537.6528146931266,1537.6528146931266,1742.6731853068734,"-1742.7,1537.7,-1537.7,1742.7"
0202K1F13P4R3,0202,B02,2,2,F13,13,-0.001640163,0.001640163,2e-06,-1640.163,-17280.0,1640.163,17280.0,2.0,21.071,-1742.6731853068734,-1537.6528146931266,1537.6528146931266,1742.6731853068734,"-1742.7,1537.7,-1537.7,1742.7"
0202K1F13P4R4,0202,B02,2,2,F13,13,-0.001640163,0.001640163,2e-06,-1640.163,-17280.0,1640.163,17280.0,2.0,21.071,-1742.6731853068734,-1537.6528146931266,1537.6528146931266,1742.6731853068734,"-1742.7,1537.7,-1537.7,1742.7"
0202K1F13P5R1,0202,B02,2,2,F13,13,-0.001640163,0.001640163,3e-06,-1640.163,-17280.0,1640.163,17280.0,3.0,31.607,-1742.6731853068734,-1537.6528146931266,1537.6528146931266,1742.6731853068734,"-1742.7,1537.7,-1537.7,1742.7"
0202K1F13P5R2,0202,B02,2,2,F13,13,-0.001640163,0.001640163,3e-06,-1640.163,-17280.0,1640.163,17280.0,3.0,31.607,-1742.6731853068734,-1537.6528146931266,1537.6528146931266,1742.6731853068734,"-1742.7,1537.7,-1537.7,1742.7"
0202K1F13P5R3,0202,B02,2,2,F13,13,-0.001640163,0.001640163,3e-06,-1640.163,-17280.0,1640.163,17280.0,3.0,31.607,-1742.6731853068734,-1537.6528146931266,1537.6528146931266,1742.6731853068734,"-1742.7,1537.7,-1537.7,1742.7"
0202K1F13P5R4,0202,B02,2,2,F13,13,-0.001640163,0.001640163,3e-06,-1640.163,-17280.0,1640.163,17280.0,3.0,31.607,-1742.6731853068734,-1537.6528146931266,1537.6528146931266,1742.6731853068734,"-1742.7,1537.7,-1537.7,1742.7"
0202K1F13P6R1,0202,B02,2,2,F13,13,-0.001640163,0.001640163,4e-06,-1640.163,-17280.0,1640.163,17280.0,4.0,42.142,-1742.6731853068734,-1537.6528146931266,1537.6528146931266,1742.6731853068734,"-1742.7,1537.7,-1537.7,1742.7"
0202K1F13P6R2,0202,B02,2,2,F13,13,-0.001640163,0.001640163,4e-06,-1640.163,-17280.0,1640.163,17280.0,4.0,42.142,-1742.6731853068734,-1537.6528146931266,1537.6528146931266,1742.6731853068734,"-1742.7,1537.7,-1537.7,1742.7"
0202K1F13P6R3,0202,B02,2,2,F13,13,-0.001640163,0.001640163,4e-06,-1640.163,-17280.0,1640.163,17280.0,4.0,42.142,-1742.6731853068734,-1537.6528146931266,1537.6528146931266,1742.6731853068734,"-1742.7,1537.7,-1537.7,1742.7"
0202K1F13P6R4,0202,B02,2,2,F13,13,-0.001640163,0.001640163,4e-06,-1640.163,-17280.0,1640.163,17280.0,4.0,42.142,-1742.6731853068734,-1537.6528146931266,1537.6528146931266,1742.6731853068734,"-1742.7,1537.7,-1537.7,1742.7"
0202K1F13P7R1,0202,B02,2,2,F13,13,-0.001640163,0.001640163,5e-06,-1640.163,-17280.0,1640.163,17280.0,5.0,52.678,-1742.6731853068734,-1537.6528146931266,1537.6528146931266,1742.6731853068734,"-1742.7,1537.7,-1537.7,1742.7"
0202K1F13P7R2,0202,B02,2,2,F13,13,-0.001640163,0.001640163,5e-06,-1640.163,-17280.0,1640.163,17280.0,5.0,52.678,-1742.6731853068734,-1537.6528146931266,1537.6528146931266,1742.6731853068734,"-1742.7,1537.7,-1537.7,1742.7"
0202K1F13P7R3,0202,B02,2,2,F13,13,-0.001640163,0.001640163,5e-06,-1640.163,-17280.0,1640.163,17280.0,5.0,52.678,-1742.6731853068734,-1537.6528146931266,1537.6528146931266,1742.6731853068734,"-1742.7,1537.7,-1537.7,1742.7"
0202K1F13P7R4,0202,B02,2,2,F13,13,-0.001640163,0.001640163,5e-06,-1640.163,-17280.0,1640.163,17280.0,5.0,52.678,-1742.6731853068734,-1537.6528146931266,1537.6528146931266,1742.6731853068734,"-1742.7,1537.7,-1537.7,1742.7"
0202K1F14P1R1,0202,B02,2,2,F14,14,-0.001435143,0.001640163,-1e-06,-1435.143,-15120.004,1640.163,17280.0,-1.0,-10.536,-1537.6531853068734,-1332.6328146931266,1537.6528146931266,1742.6731853068734,"-1537.7,1537.7,-1332.6,1742.7"
0202K1F14P1R2,0202,B02,2,2,F14,14,-0.001435143,0.001640163,-1e-06,-1435.143,-15120.004,1640.163,17280.0,-1.0,-10.536,-1537.6531853068734,-1332.6328146931266,1537.6528146931266,1742.6731853068734,"-1537.7,1537.7,-1332.6,1742.7"
0202K1F14P1R3,0202,B02,2,2,F14,14,-0.001435143,0.001640163,-1e-06,-1435.143,-15120.004,1640.163,17280.0,-1.0,-10.536,-1537.6531853068734,-1332.6328146931266,1537.6528146931266,1742.6731853068734,"-1537.7,1537.7,-1332.6,1742.7"
0202K1F14P1R4,0202,B02,2,2,F14,14,-0.001435143,0.001640163,-1e-06,-1435.143,-15120.004,1640.163,17280.0,-1.0,-10.536,-1537.6531853068734,-1332.6328146931266,1537.6528146931266,1742.6731853068734,"-1537.7,1537.7,-1332.6,1742.7"
0202K1F14P2R1,0202,B02,2,2,F14,14,-0.001435143,0.001640163,0.0,-1435.143,-15120.004,1640.163,17280.0,0.0,0.0,-1537.6531853068734,-1332.6328146931266,1537.6528146931266,1742.6731853068734,"-1537.7,1537.7,-1332.6,1742.7"
0202K1F14P2R2,0202,B02,2,2,F14,14,-0.001435143,0.001640163,0.0,-1435.143,-15120.004,1640.163,17280.0,0.0,0.0,-1537.6531853068734,-1332.6328146931266,1537.6528146931266,1742.6731853068734,"-1537.7,1537.7,-1332.6,1742.7"
0202K1F14P2R3,0202,B02,2,2,F14,14,-0.001435143,0.001640163,0.0,-1435.143,-15120.004,1640.163,17280.0,0.0,0.0,-1537.6531853068734,-1332.6328146931266,1537.6528146931266,1742.6731853068734,"-1537.7,1537.7,-1332.6,1742.7"
0202K1F14P2R4,0202,B02,2,2,F14,14,-0.001435143,0.001640163,0.0,-1435.143,-15120.004,1640.163,17280.0,0.0,0.0,-1537.6531853068734,-1332.6328146931266,1537.6528146931266,1742.6731853068734,"-1537.7,1537.7,-1332.6,1742.7"
0202K1F14P3R1,0202,B02,2,2,F14,14,-0.001435143,0.001640163,1e-06,-1435.143,-15120.004,1640.163,17280.0,1.0,10.536,-1537.6531853068734,-1332.6328146931266,1537.6528146931266,1742.6731853068734,"-1537.7,1537.7,-1332.6,1742.7"
0202K1F14P3R2,0202,B02,2,2,F14,14,-0.001435143,0.001640163,1e-06,-1435.143,-15120.004,1640.163,17280.0,1.0,10.536,-1537.6531853068734,-1332.6328146931266,1537.6528146931266,1742.6731853068734,"-1537.7,1537.7,-1332.6,1742.7"
0202K1F14P3R3,0202,B02,2,2,F14,14,-0.001435143,0.001640163,1e-06,-1435.143,-15120.004,1640.163,17280.0,1.0,10.536,-1537.6531853068734,-1332.6328146931266,1537.6528146931266,1742.6731853068734,"-1537.7,1537.7,-1332.6,1742.7"
0202K1F14P3R4,0202,B02,2,2,F14,14,-0.001435143,0.001640163,1e-06,-1435.143,-15120.004,1640.163,17280.0,1.0,10.536,-1537.6531853068734,-1332.6328146931266,1537.6528146931266,1742.6731853068734,"-1537.7,1537.7,-1332.6,1742.7"
0202K1F14P4R1,0202,B02,2,2,F14,14,-0.001435143,0.001640163,2e-06,-1435.143,-15120.004,1640.163,17280.0,2.0,21.071,-1537.6531853068734,-1332.6328146931266,1537.6528146931266,1742.6731853068734,"-1537.7,1537.7,-1332.6,1742.7"
0202K1F14P4R2,0202,B02,2,2,F14,14,-0.001435143,0.001640163,2e-06,-1435.143,-15120.004,1640.163,17280.0,2.0,21.071,-1537.6531853068734,-1332.6328146931266,1537.6528146931266,1742.6731853068734,"-1537.7,1537.7,-1332.6,1742.7"
0202K1F14P4R3,0202,B02,2,2,F14,14,-0.001435143,0.001640163,2e-06,-1435.143,-15120.004,1640.163,17280.0,2.0,21.071,-1537.6531853068734,-1332.6328146931266,1537.6528146931266,1742.6731853068734,"-1537.7,1537.7,-1332.6,1742.7"
0202K1F14P4R4,0202,B02,2,2,F14,14,-0.001435143,0.001640163,2e-06,-1435.143,-15120.004,1640.163,17280.0,2.0,21.071,-1537.6531853068734,-1332.6328146931266,1537.6528146931266,1742.6731853068734,"-1537.7,1537.7,-1332.6,1742.7"
0202K1F14P5R1,0202,B02,2,2,F14,14,-0.001435143,0.001640163,3e-06,-1435.143,-15120.004,1640.163,17280.0,3.0,31.607,-1537.6531853068734,-1332.6328146931266,1537.6528146931266,1742.6731853068734,"-1537.7,1537.7,-1332.6,1742.7"
0202K1F14P5R2,0202,B02,2,2,F14,14,-0.001435143,0.001640163,3e-06,-1435.143,-15120.004,1640.163,17280.0,3.0,31.607,-1537.6531853068734,-1332.6328146931266,1537.6528146931266,1742.6731853068734,"-1537.7,1537.7,-1332.6,1742.7"
0202K1F14P5R3,0202,B02,2,2,F14,14,-0.001435143,0.001640163,3e-06,-1435.143,-15120.004,1640.163,17280.0,3.0,31.607,-1537.6531853068734,-1332.6328146931266,1537.6528146931266,1742.6731853068734,"-1537.7,1537.7,-1332.6,1742.7"
0202K1F14P5R4,0202,B02,2,2,F14,14,-0.001435143,0.001640163,3e-06,-1435.143,-15120.004,1640.163,17280.0,3.0,31.607,-1537.6531853068734,-1332.6328146931266,1537.6528146931266,1742.6731853068734,"-1537.7,1537.7,-1332.6,1742.7"
0202K1F14P6R1,0202,B02,2,2,F14,14,-0.001435143,0.001640163,4e-06,-1435.143,-15120.004,1640.163,17280.0,4.0,42.142,-1537.6531853068734,-1332.6328146931266,1537.6528146931266,1742.6731853068734,"-1537.7,1537.7,-1332.6,1742.7"
0202K1F14P6R2,0202,B02,2,2,F14,14,-0.001435143,0.001640163,4e-06,-1435.143,-15120.004,1640.163,17280.0,4.0,42.142,-1537.6531853068734,-1332.6328146931266,1537.6528146931266,1742.6731853068734,"-1537.7,1537.7,-1332.6,1742.7"
0202K1F14P6R3,0202,B02,2,2,F14,14,-0.001435143,0.001640163,4e-06,-1435.143,-15120.004,1640.163,17280.0,4.0,42.142,-1537.6531853068734,-1332.6328146931266,1537.6528146931266,1742.6731853068734,"-1537.7,1537.7,-1332.6,1742.7"
0202K1F14P6R4,0202,B02,2,2,F14,14,-0.001435143,0.001640163,4e-06,-1435.143,-15120.004,1640.163,17280.0,4.0,42.142,-1537.6531853068734,-1332.6328146931266,1537.6528146931266,1742.6731853068734,"-1537.7,1537.7,-1332.6,1742.7"
0202K1F14P7R1,0202,B02,2,2,F14,14,-0.001435143,0.001640163,5e-06,-1435.143,-15120.004,1640.163,17280.0,5.0,52.678,-1537.6531853068734,-1332.6328146931266,1537.6528146931266,1742.6731853068734,"-1537.7,1537.7,-1332.6,1742.7"
0202K1F14P7R2,0202,B02,2,2,F14,14,-0.001435143,0.001640163,5e-06,-1435.143,-15120.004,1640.163,17280.0,5.0,52.678,-1537.6531853068734,-1332.6328146931266,1537.6528146931266,1742.6731853068734,"-1537.7,1537.7,-1332.6,1742.7"
0202K1F14P7R3,0202,B02,2,2,F14,14,-0.001435143,0.001640163,5e-06,-1435.143,-15120.004,1640.163,17280.0,5.0,52.678,-1537.6531853068734,-1332.6328146931266,1537.6528146931266,1742.6731853068734,"-1537.7,1537.7,-1332.6,1742.7"
0202K1F14P7R4,0202,B02,2,2,F14,14,-0.001435143,0.001640163,5e-06,-1435.143,-15120.004,1640.163,17280.0,5.0,52.678,-1537.6531853068734,-1332.6328146931266,1537.6528146931266,1742.6731853068734,"-1537.7,1537.7,-1332.6,1742.7"
0202K1F15P1R1,0202,B02,2,2,F15,15,-0.001230122,0.001640163,-1e-06,-1230.122,-12959.998,1640.163,17280.0,-1.0,-10.536,-1332.6321853068735,-1127.6118146931267,1537.6528146931266,1742.6731853068734,"-1332.6,1537.7,-1127.6,1742.7"
0202K1F15P1R2,0202,B02,2,2,F15,15,-0.001230122,0.001640163,-1e-06,-1230.122,-12959.998,1640.163,17280.0,-1.0,-10.536,-1332.6321853068735,-1127.6118146931267,1537.6528146931266,1742.6731853068734,"-1332.6,1537.7,-1127.6,1742.7"
0202K1F15P1R3,0202,B02,2,2,F15,15,-0.001230122,0.001640163,-1e-06,-1230.122,-12959.998,1640.163,17280.0,-1.0,-10.536,-1332.6321853068735,-1127.6118146931267,1537.6528146931266,1742.6731853068734,"-1332.6,1537.7,-1127.6,1742.7"
0202K1F15P1R4,0202,B02,2,2,F15,15,-0.001230122,0.001640163,-1e-06,-1230.122,-12959.998,1640.163,17280.0,-1.0,-10.536,-1332.6321853068735,-1127.6118146931267,1537.6528146931266,1742.6731853068734,"-1332.6,1537.7,-1127.6,1742.7"
0202K1F15P2R1,0202,B02,2,2,F15,15,-0.001230122,0.001640163,0.0,-1230.122,-12959.998,1640.163,17280.0,0.0,0.0,-1332.6321853068735,-1127.6118146931267,1537.6528146931266,1742.6731853068734,"-1332.6,1537.7,-1127.6,1742.7"
0202K1F15P2R2,0202,B02,2,2,F15,15,-0.001230122,0.001640163,0.0,-1230.122,-12959.998,1640.163,17280.0,0.0,0.0,-1332.6321853068735,-1127.6118146931267,1537.6528146931266,1742.6731853068734,"-1332.6,1537.7,-1127.6,1742.7"
0202K1F15P2R3,0202,B02,2,2,F15,15,-0.001230122,0.001640163,0.0,-1230.122,-12959.998,1640.163,17280.0,0.0,0.0,-1332.6321853068735,-1127.6118146931267,1537.6528146931266,1742.6731853068734,"-1332.6,1537.7,-1127.6,1742.7"
0202K1F15P2R4,0202,B02,2,2,F15,15,-0.001230122,0.001640163,0.0,-1230.122,-12959.998,1640.163,17280.0,0.0,0.0,-1332.6321853068735,-1127.6118146931267,1537.6528146931266,1742.6731853068734,"-1332.6,1537.7,-1127.6,1742.7"
0202K1F15P3R1,0202,B02,2,2,F15,15,-0.001230122,0.001640163,1e-06,-1230.122,-12959.998,1640.163,17280.0,1.0,10.536,-1332.6321853068735,-1127.6118146931267,1537.6528146931266,1742.6731853068734,"-1332.6,1537.7,-1127.6,1742.7"
0202K1F15P3R2,0202,B02,2,2,F15,15,-0.001230122,0.001640163,1e-06,-1230.122,-12959.998,1640.163,17280.0,1.0,10.536,-1332.6321853068735,-1127.6118146931267,1537.6528146931266,1742.6731853068734,"-1332.6,1537.7,-1127.6,1742.7"
0202K1F15P3R3,0202,B02,2,2,F15,15,-0.001230122,0.001640163,1e-06,-1230.122,-12959.998,1640.163,17280.0,1.0,10.536,-1332.6321853068735,-1127.6118146931267,1537.6528146931266,1742.6731853068734,"-1332.6,1537.7,-1127.6,1742.7"
0202K1F15P3R4,0202,B02,2,2,F15,15,-0.001230122,0.001640163,1e-06,-1230.122,-12959.998,1640.163,17280.0,1.0,10.536,-1332.6321853068735,-1127.6118146931267,1537.6528146931266,1742.6731853068734,"-1332.6,1537.7,-1127.6,1742.7"
