Image_ID,Well_ID,Well,Row,Col,Field_ID,Field,PositionX,PositionY,PositionZ,PositionX (um),PositionX (pixels),PositionY (um),PositionY (pixels),PositionZ (um),PositionZ (pixels),min_bbox_PositionX (um),max_bbox_PositionX (um),min_bbox_PositionY (um),max_bbox_PositionY (um),bbox_coords
0202K1F1P5R4,0202,B02,2,2,F01,1,-0.001640163,-0.000615061,3e-06,-1640.163,-17280.0,-615.061,-6479.999,3.0,31.607,-1742.6731853068734,-1537.6528146931266,-717.5711853068735,-512.5508146931265,"-1742.7,-717.6,-1537.7,-512.6"
0202K1F1P6R1,0202,B02,2,2,F01,1,-0.001640163,-0.000615061,4e-06,-1640.163,-17280.0,-615.061,-6479.999,4.0,42.142,-1742.6731853068734,-1537.6528146931266,-717.5711853068735,-512.5508146931265,"-1742.7,-717.6,-1537.7,-512.6"
0202K1F1P6R2,0202,B02,2,2,F01,1,-0.001640163,-0.000615061,4e-06,-1640.163,-17280.0,-615.061,-6479.999,4.0,42.142,-1742.6731853068734,-1537.6528146931266,-717.5711853068735,-512.5508146931265,"-1742.7,-717.6,-1537.7,-512.6"
0202K1F1P6R3,0202,B02,2,2,F01,1,-0.001640163,-0.000615061,4e-06,-1640.163,-17280.0,-615.061,-6479.999,4.0,42.142,-1742.6731853068734,-1537.6528146931266,-717.5711853068735,-512.5508146931265,"-1742.7,-717.6,-1537.7,-512.6"
0202K1F1P6R4,0202,B02,2,2,F01,1,-0.001640163,-0.000615061,4e-06,-1640.163,-17280.0,-615.061,-6479.999,4.0,42.142,-1742.6731853068734,-1537.6528146931266,-717.5711853068735,-512.5508146931265,"-1742.7,-717.6,-1537.7,-512.6"
0202K1F1P7R1,0202,B02,2,2,F01,1,-0.001640163,-0.000615061,5e-06,-1640.163,-17280.0,-615.061,-6479.999,5.0,52.678,-1742.6731853068734,-1537.6528146931266,-717.5711853068735,-512.5508146931265,"-1742.7,-717.6,-1537.7,-512.6"
0202K1F1P7R2,0202,B02,2,2,F01,1,-0.001640163,-0.000615061,5e-06,-1640.163,-17280.0,-615.061,-6479.999,5.0,52.678,-1742.6731853068734,-1537.6528146931266,-717.5711853068735,-512.5508146931265,"-1742.7,-717.6,-1537.7,-512.6"
0202K1F1P7R3,0202,B02,2,2,F01,1,-0.001640163,-0.000615061,5e-06,-1640.163,-17280.0,-615.061,-6479.999,5.0,52.678,-1742.6731853068734,-1537.6528146931266,-717.5711853068735,-512.5508146931265,"-1742.7,-717.6,-1537.7,-512.6"
0202K1F1P7R4,0202,B02,2,2,F01,1,-0.001640163,-0.000615061,5e-06,-1640.163,-17280.0,-615.061,-6479.999,5.0,52.678,-1742.6731853068734,-1537.6528146931266,-717.5711853068735,-512.5508146931265,"-1742.7,-717.6,-1537.7,-512.6"
0202K1F2P1R1,0202,B02,2,2,F02,2,-0.001845183,0.002050204,-1e-06,-1845.183,-19439.996,2050.204,21600.003,-1.0,-10.536,-1947.6931853068734,-1742.6728146931266,1947.6938146931268,2152.714185306874,"-1947.7,1947.7,-1742.7,2152.7"
0202K1F2P1R2,0202,B02,2,2,F02,2,-0.001845183,0.002050204,-1e-06,-1845.183,-19439.996,2050.204,21600.003,-1.0,-10.536,-1947.6931853068734,-1742.6728146931266,1947.6938146931268,2152.714185306874,"-1947.7,1947.7,-1742.7,2152.7"
0202K1F2P1R3,0202,B02,2,2,F02,2,-0.001845183,0.002050204,-1e-06,-1845.183,-19439.996,2050.204,21600.003,-1.0,-10.536,-1947.6931853068734,-1742.6728146931266,1947.6938146931268,2152.714185306874,"-1947.7,1947.7,-1742.7,2152.7"
