Replicate_Number,Doxo,P11-13,P14-16,P17-19,P20-22,P23-25,P26-28,P29+,P6-10
3,,95222.28296920242,93366.567229178,137883.21379044684,165980.0039246468,,,,86400.52012195122
4,,90606.62913907284,121441.07427055703,127718.33416458852,99612.92871287129,93145.74504950496,,,73641.35978835978
5,237388.53744493393,,75584.91651990138,165752.22805578343,91117.0931122449,84023.3004552352,253746.28,253641.4516129032,64446.65106457857
6,269261.1335149864,86131.3325954621,,121578.90781203232,168704.025,113701.50025419421,126906.78884462151,146917.4090909091,76165.41418092909
7,424495.6657303371,135545.15696087352,149148.91204506066,186412.42444080743,191608.00838574424,175187.43222506394,273531.3223552894,364614.9747474748,105332.76571624872
