Replicate_Number,Doxo,P11-13,P14-16,P17-19,P20-22,P23-25,P26-28,P29+,P6-10
3,,89299.19716088328,84446.2140175219,122166.6338609773,134472.95500725688,,,,80510.0138248848
4,,77461.20212765958,97784.22274881517,108385.93981481482,91325.9877675841,82791.42537313433,,,70523.72300469484
5,131779.41,,69838.96299950666,138681.05287713843,80431.39877876938,78176.226888668,155025.8309859155,179642.3842364532,61611.23366606171
6,154922.6925795053,79007.54851643945,,101691.14552605704,101326.12101910828,98358.70737913487,104996.87935034803,62578.28571428572,71714.30330123796
7,,133978.56105610562,136808.1075471698,129388.20695652174,130206.379916318,138324.90302066773,134949.7650485437,121607.00243902439,132086.54418604652
