,filter_type,columns,rows_initial,rows_removed,threshold,rows,Plate_Number
58,Cell Size Filter Bottom Band,3455,14353,155,Bottom threshold: 22768.0,14194.0,Plate 3
59,Cell Size Filter Top Band,3455,14353,4,Top threshold: 1254046.5,14194.0,Plate 3
60,Nuclear Size Filter Bottom Band,3455,14194,177,Bottom threshold: 9340.0,14007.0,Plate 3
61,Nuclear Size Filter Top Band,3455,14194,10,Top threshold: 98385.75,14007.0,Plate 3
62,Cell:Nuclear Area Ratio Filter Bottom Band,3455,14007,163,Bottom threshold: 1.9243336199484091,13844.0,Plate 3
63,Cell:Nuclear Area Ratio Filter Top Band,3455,13844,26,Top threshold: 20.530685742771166,13818.0,Plate 3
64,Percent of Cell Touching Neighbours AND Number Of Neighbours < 97.5th Percentile,3455,13818,1500,Max Percent Touching: 65.82167832167832 and Max Number Of Neighbours: 4.0,12318.0,Plate 3
65,Number Of Nuclei Neighbours < 97.5th Percentile,3455,12318,24,Max Number Of Nuclei Neighbours: 1.0,12294.0,Plate 3
66,Initial Dataset,3455,7019,0,"None,None",,Plate 1
67,Min Number of Mitochondria Filter,3455,7019,1,min_compartments=0,7018.0,Plate 1
68,Min Number of Lysosomes Filter,3455,7018,1,min_compartments=0,7017.0,Plate 1
69,Cell Size Filter Bottom Band,3455,7017,61,Bottom threshold: 22768.0,6955.0,Plate 1
70,Cell Size Filter Top Band,3455,7017,1,Top threshold: 1254046.5,6955.0,Plate 1
71,Nuclear Size Filter Bottom Band,3455,6955,62,Bottom threshold: 9340.0,6890.0,Plate 1
72,Nuclear Size Filter Top Band,3455,6955,3,Top threshold: 98385.75,6890.0,Plate 1
73,Cell:Nuclear Area Ratio Filter Bottom Band,3455,6890,119,Bottom threshold: 1.9243336199484091,6771.0,Plate 1
74,Cell:Nuclear Area Ratio Filter Top Band,3455,6771,2,Top threshold: 20.530685742771166,6769.0,Plate 1
75,Percent of Cell Touching Neighbours AND Number Of Neighbours < 97.5th Percentile,3455,6769,472,Max Percent Touching: 65.82167832167832 and Max Number Of Neighbours: 4.0,6297.0,Plate 1
76,Number Of Nuclei Neighbours < 97.5th Percentile,3455,6297,11,Max Number Of Nuclei Neighbours: 1.0,6286.0,Plate 1
