Replicate_Number,Doxo,P17-19,P29+,P6-10
5,369552.0,212069.29182879376,316400.51612903224,91882.40987654321
6,459312.36363636365,171704.05128205128,1837029.463414634,100133.17565217392
7,597968.4485981308,238609.05050505052,585535.0303030303,133882.7513227513
