AllGroups,Plate_Number,Cell_Unique_ID,Image_FileName_MitoTracker_MAX,AreaShape_Area,MitoEnds_NumberBranchEnds_PerCell_Area,MitoEnds_NumberNonTrunkBranches_PerCell_Area,MitoEnds_NumberTrunks_PerCell_Area,MitoEnds_TotalObjectSkeltnLngth_PerCell_Area,MitoEnds_Math_Total_NumberBranchEnds_MitoSkeleton,MitoEnds_Math_Total_NumberNonTrunkBranches_MitoSkeleton,MitoEnds_Math_Total_NumberTrunks_MitoSkeleton,MitoEnds_Math_TotalObjectSkeltnLngth_MitoSkeleton,Children_MitoEnds_Count,Children_Mitochondria_Count,OccupiedAreaFraction_Mitochondria_PerCell_Area,Mean_Mitochondria_Area_PerCell_Area,Mean_Mitochondria_MaxMinFeret_DiameterRatio_PerCell,Mean_Mitochondria_AreaShape_Area,Mean_Mitochondria_AreaShape_Solidity,Mean_Mitochondria_AreaShape_Eccentricity
P32-35,5.0,45177,MAX_ch2-r05c03f12.tif,70324.0,0.00017063875774984356,0.0013651100619987487,0.0016352880951026676,0.02255688765002059,11.999999999999998,96.0,115.0,1586.290567100048,115,38,0.1645953017462033,0.004331455309110613,1.8267898650372831,304.60526315789474,0.8668373642246207,0.7215655203248109
Doxo,5.0,47461,MAX_ch2-r05c01f04.tif,45464.0,0.0,0.0,2.1995424951610066e-05,9.709250522125529e-05,0.0,0.0,1.0,4.41421365737915,5,4,0.0029253915185641385,0.0007313478796410346,1.494270418980162,33.25,0.9386292016806724,0.6582026314802836
Doxo,5.0,47479,MAX_ch2-r05c01f26.tif,58844.0,0.0017333967779212835,0.0027190537692882875,0.004333491944803209,0.05260607201929412,102.0,160.0,255.0,3095.551701903343,218,94,0.3019169329073482,0.00321188226497179,1.9107508169339456,189.0,0.7813704167168383,0.8002739058578398
Doxo,5.0,47491,MAX_ch2-r05c01f40.tif,299484.0,0.000731257763352967,0.0007045451509930414,0.002480933872928103,0.02982740764860189,218.99999999999997,211.00000000000003,743.0,8932.831352233889,704,393,0.17896782465841246,0.0004553888668152989,3.35928315622727,136.38167938931298,0.8020892480507258,0.8757148292556809
Doxo,5.0,49092,MAX_ch2-r06c01f03.tif,382157.0,0.0009106205041383514,0.00144966597497887,0.003087736192193261,0.03860816269798792,347.99999999999994,554.0,1180.0,14754.379632174969,1081,485,0.2208594896861761,0.00045538039110551773,2.388286068805118,174.02680412371134,0.7799028243696291,0.844376046311906
Doxo,5.0,49133,MAX_ch2-r06c01f12.tif,144604.0,0.0001798013886199551,0.00019363226466764395,0.0011479627119581753,0.008518473066131734,25.99999999999999,27.999999999999986,166.0,1231.8052792549133,157,91,0.08775690852258582,0.0009643616321163278,2.308413468026201,139.45054945054946,0.8749870885669473,0.7521707535295913
Doxo,5.0,49144,MAX_ch2-r06c01f21.tif,52264.0,0.0014924230828103472,0.000937547834073167,0.003998928516761059,0.029146076966240744,77.99999999999999,49.0,209.0,1523.2905665636063,193,123,0.18303229756620235,0.0014880674598878238,2.1093095214409683,77.77235772357723,0.7813155284867034,0.8324636305339049
P32-35,5.0,49200,MAX_ch2-r06c02f27.tif,358888.0,3.622299993312677e-05,5.572769220481042e-06,0.00012817369207106398,0.0005008590718387205,13.0,2.0,46.00000000000001,179.75231057405472,47,33,0.004644903145270949,0.00014075464076578634,2.033706066246632,50.51515151515152,0.8512961667929654,0.7584643181073667
P32-35,5.0,49205,MAX_ch2-r06c02f30.tif,152923.0,0.001634809675457583,0.002099095623287537,0.004211269723978735,0.04699071041703879,249.99999999999997,321.0,644.0000000000001,7185.960409104823,555,267,0.2574890631232712,0.0009643785135703041,2.0995065381543583,147.4756554307116,0.7494320157852468,0.8346909868854512
P32-35,5.0,49215,MAX_ch2-r06c02f32.tif,338860.0,0.0008115445906864191,0.0007672785221035234,0.00311338015699699,0.031269015767656914,275.0,259.99999999999994,1055.0,10595.818683028221,955,505,0.17725609396210826,0.00035100216626160046,2.807147612855165,118.94059405940594,0.763868114087332,0.882339054379667
P32-35,5.0,49218,MAX_ch2-r06c02f32.tif,89508.0,0.0008602583009339948,0.0018322384591321446,0.003161728560575591,0.039290302958438175,77.0,164.0,283.0,3516.796437203884,244,90,0.21799168789381954,0.002422129865486884,2.045137540442503,216.8,0.7522425152462741,0.810231774480878
P32-35,5.0,49256,MAX_ch2-r06c03f35.tif,331636.0,0.0006633779203705267,0.0006814700454715411,0.002638434910564595,0.024123776667003827,220.0,226.00000000000003,875.0,8000.3127987384805,836,465,0.1614420629847182,0.0003471872322252004,2.50928732651447,115.13978494623656,0.7988323951473117,0.8479574926646495
P32-35,5.0,49258,MAX_ch2-r06c03f35.tif,190988.0,0.0011100173832910966,0.0005759524158585879,0.00382222966887972,0.02431121808030951,211.99999999999997,110.0,730.0,4643.150918722153,652,398,0.16852367688022282,0.00042342632381965536,2.179381162604299,80.86934673366834,0.7909392660684919,0.852896390812686
P13-15,5.0,51253,MAX_ch2-r06c09f31.tif,75049.0,9.32723953683593e-05,0.0004663619768417967,0.0011592426281496091,0.01583091854313695,6.999999999999997,35.0,87.00000000000001,1188.094605743885,84,34,0.11241988567469256,0.0033064672257262515,3.115146162617627,248.14705882352945,0.7919965290753262,0.9124630802391246
P13-15,5.0,51274,MAX_ch2-r06c09f32.tif,44160.0,0.0015172101449275359,0.0016077898550724634,0.004370471014492753,0.04308022208430845,66.99999999999999,70.99999999999999,193.0,1902.422607243061,180,96,0.2573596014492754,0.0026808291817632854,1.9797365927018755,118.38541666666669,0.7808176388806713,0.8017158025565969
P13-15,5.0,51334,MAX_ch2-r06c09f38.tif,68200.0,0.0005718475073313781,0.0014809384164222875,0.0029178885630498533,0.032622092682595125,38.999999999999986,101.0,199.0,2224.8267209529877,170,64,0.21019061583577714,0.003284228372434018,1.8093655675191656,223.984375,0.8011229083502346,0.7796827326859116
Doxo,5.0,51824,MAX_ch2-r07c01f14.tif,65872.0,0.0018065338838960407,0.0033094486276414865,0.004478382317221277,0.05801000491866852,119.0,218.0,295.0,3821.235044002533,246,94,0.31441280058294874,0.003344817027478178,1.9829100062782818,220.32978723404256,0.7294875422656035,0.8296472843902692
Doxo,5.0,51830,MAX_ch2-r07c01f27.tif,154832.0,0.0015177741035444867,0.0012142192828355893,0.004779373772863491,0.03616873065845661,234.99999999999997,187.99999999999997,740.0,5600.076905310154,636,355,0.19935801384726673,0.0005615718699923006,2.1214294236876223,86.9492957746479,0.7574595321740298,0.8490848453656501
Doxo,5.0,51831,MAX_ch2-r07c01f28.tif,208877.0,0.0018767025570072342,0.00346615472263581,0.004409293507662404,0.05474146043758865,392.00000000000006,724.0000000000001,921.0,11434.232031822205,733,245,0.29988940859931923,0.001224038402446201,1.7762262334115486,255.6734693877551,0.7573008885759616,0.804584711234559
Doxo,5.0,51836,MAX_ch2-r07c01f31.tif,255881.0,0.000910579527202098,0.0010512699262547824,0.0031303613789222333,0.039493138028532146,233.00000000000003,268.99999999999994,801.0,10105.543651878834,721,366,0.1981663351323467,0.0005414380741320948,3.2483074738570674,138.54371584699453,0.7483907272956665,0.9140005265986428
P32-35,5.0,51847,MAX_ch2-r07c02f02.tif,260141.0,0.0016260412622385553,0.0014069293191000263,0.004274604925790244,0.035832088008084156,423.0,365.99999999999994,1112.0,9321.39520651102,917,535,0.18768667760945026,0.00035081621983074817,2.068631146387719,91.26168224299066,0.7351946971013856,0.8408518851597888
P32-35,5.0,51861,MAX_ch2-r07c02f11.tif,197103.0,0.00011161676889747996,1.5220468486019955e-05,0.00068999457136624,0.0018380816953908945,21.999999999999993,2.999999999999991,136.0,362.29141640663147,136,92,0.01879220509073936,0.00020426309881238435,2.1230594310401374,40.26086956521739,0.846941544908698,0.7902103249907882
P32-35,5.0,51909,MAX_ch2-r07c02f35.tif,109224.0,0.0015198124954222516,0.0008239947264337508,0.003662198784150004,0.026343575419894523,166.0,90.0,400.0,2877.3506816625595,353,236,0.14595693254229838,0.000618461578569061,2.225267840197028,67.55084745762711,0.7686450342672986,0.8505022984174567
P32-35,5.0,51914,MAX_ch2-r07c02f31.tif,198823.0,0.001976632482157497,0.0016748565306830695,0.004732852838957264,0.04223617512396626,393.0,332.99999999999994,941.0000000000001,8397.523046672344,772,433,0.2448157406336289,0.0005653943201700437,2.08765562679585,112.4133949191686,0.7720476805530662,0.8273020261242457
P32-35,5.0,51929,MAX_ch2-r07c02f38.tif,274844.0,0.0017428068286009517,0.0007131318129557128,0.004256960312031553,0.02627991566531578,478.99999999999994,195.99999999999994,1170.0000000000002,7222.87714111805,1019,680,0.14825501011482878,0.0002180220736982776,2.1932539203544,59.92205882352941,0.7594820427935833,0.8567207003337522
P32-35,5.0,51933,MAX_ch2-r07c02f40.tif,199180.0,0.0014459283060548245,0.002043377849181645,0.004342805502560498,0.046790252269984185,287.99999999999994,407.00000000000006,865.0000000000001,9319.68244713545,737,354,0.2544783612812532,0.0007188654273481728,2.1361289604115528,143.18361581920905,0.7530097873530313,0.8371706946841783
P32-35,5.0,51949,MAX_ch2-r07c03f21.tif,96933.0,0.000257910102854549,0.0005983514386225538,0.0016506246582691133,0.021146263989211468,25.0,58.0,159.99999999999997,2049.7708072662354,142,60,0.138735002527519,0.0023122500421253168,3.1746967842247944,224.13333333333333,0.7933230833243229,0.8956529041318723
P13-15,1.0,72157,MAX_ch2-r04c04f15.tif,110196.0,0.0005717085919634107,0.0010072960906021998,0.002513702856728012,0.029092191293272566,63.0,111.0,277.0,3205.8431117534637,250,106,0.17604994736651058,0.0016608485600614206,2.764207988786677,183.0188679245283,0.776595483973167,0.8890058955701498
P13-15,1.0,74254,MAX_ch2-r06c04f02.tif,69184.0,0.0013297872340425532,0.0012719703977798335,0.003454555966697502,0.03788293168727553,92.0,88.0,239.0,2620.8927458524704,207,107,0.2037754394079556,0.001904443358952856,2.198491259913814,131.7570093457944,0.7611736972407669,0.8390629560700302
P13-15,1.0,75368,MAX_ch2-r07c04f15.tif,79952.0,0.0005378226936161697,0.0004877926756053631,0.0021763057834700817,0.01858629360392448,43.0,38.99999999999999,173.99999999999997,1486.0113462209702,165,93,0.12208575145087053,0.0013127500156007582,2.505825709257052,104.95698924731182,0.8072839170751194,0.8474569075936461
