,filter_type,columns,rows_initial,rows_removed,threshold,rows,Plate_Number
58,Percent of Cell Touching Neighbours AND Number Of Neighbours < 97.5th Percentile,3455,10936,308,Max Percent Touching: 65.82167832167832 and Max Number Of Neighbours: 4.0,10628.0,Plate 4
59,Number Of Nuclei Neighbours < 97.5th Percentile,3455,10628,29,Max Number Of Nuclei Neighbours: 1.0,10599.0,Plate 4
60,Initial Dataset,3455,12551,0,"None,None",,Plate 5
61,Min Number of Mitochondria Filter,3455,12551,6,min_compartments=0,12545.0,Plate 5
62,Min Number of Lysosomes Filter,3455,12545,2,min_compartments=0,12543.0,Plate 5
63,Cell Size Filter Bottom Band,3455,12543,315,Bottom threshold: 22768.0,12226.0,Plate 5
64,Cell Size Filter Top Band,3455,12543,2,Top threshold: 1254046.5,12226.0,Plate 5
65,Nuclear Size Filter Bottom Band,3455,12226,196,Bottom threshold: 9340.0,12013.0,Plate 5
66,Nuclear Size Filter Top Band,3455,12226,17,Top threshold: 98385.75,12013.0,Plate 5
67,Cell:Nuclear Area Ratio Filter Bottom Band,3455,12013,481,Bottom threshold: 1.9243336199484091,11532.0,Plate 5
68,Cell:Nuclear Area Ratio Filter Top Band,3455,11532,8,Top threshold: 20.530685742771166,11524.0,Plate 5
69,Cell Eccentricity Filter Bottom Band,3455,11524,257,Bottom threshold: 0.4542413516744716,11170.0,Plate 5
70,Cell Eccentricity Filter,3455,11524,97,Top threshold: 0.9934239864299939,11170.0,Plate 5
71,Nuclear Eccentricity Filter Bottom Band,3455,11170,245,Bottom threshold: 0.4526738014352,10901.0,Plate 5
72,Nuclear Eccentricity Filter Top Band,3455,11170,24,Top threshold: 0.9525365954701192,10901.0,Plate 5
73,Percent of Cell Touching Neighbours AND Number Of Neighbours < 97.5th Percentile,3455,10901,1143,Max Percent Touching: 65.82167832167832 and Max Number Of Neighbours: 4.0,9758.0,Plate 5
74,Number Of Nuclei Neighbours < 97.5th Percentile,3455,9758,25,Max Number Of Nuclei Neighbours: 1.0,9733.0,Plate 5
75,Initial Dataset,3455,14353,0,"None,None",,Plate 3
76,Min Number of Mitochondria Filter,3455,14353,0,min_compartments=0,14353.0,Plate 3
77,Min Number of Lysosomes Filter,3455,14353,0,min_compartments=0,14353.0,Plate 3
78,Cell Size Filter Bottom Band,3455,14353,155,Bottom threshold: 22768.0,14194.0,Plate 3
79,Cell Size Filter Top Band,3455,14353,4,Top threshold: 1254046.5,14194.0,Plate 3
80,Nuclear Size Filter Bottom Band,3455,14194,177,Bottom threshold: 9340.0,14007.0,Plate 3
81,Nuclear Size Filter Top Band,3455,14194,10,Top threshold: 98385.75,14007.0,Plate 3
