,AllGroups,Plate_Number,count,mean,std,min,1%,2.5%,5%,10%,25%,50%,75%,90%,95%,97.5%,99%,max
0,P6-12,4.0,1986.0,0.8171746202927592,0.15947805368726028,0.114328364351492,0.3186413694410304,0.4084653671031386,0.5026815898980787,0.5782856680432115,0.7366267439424278,0.8654185917181212,0.9437955923919161,0.9755474315526758,0.9841305141694079,0.9884645054993928,0.992087376580587,0.9978513582773344
1,P6-12,5.0,1785.0,0.8250807686648451,0.1413813742554687,0.1498511439920882,0.38020801154377165,0.4490645339389945,0.5290662891583964,0.628977118515002,0.7556557906906333,0.8655787129233334,0.9310253699486102,0.9644638119448989,0.9746499551785176,0.9827306092579375,0.9867302980697317,0.9976576371240828
2,P6-12,2.0,1437.0,0.8981821839337488,0.11533830648371897,0.25511663395455,0.45162833988693407,0.5434311047396176,0.6435067550754473,0.7461771314419324,0.871818925906381,0.9403532044657612,0.973175606640472,0.9865259830302888,0.9908731907537054,0.9941208503527587,0.995898225601564,0.997563027684048
3,P6-12,1.0,2839.0,0.864183093133961,0.12598625123873045,0.1976226388590541,0.4305777938361515,0.5260600181806867,0.5978445788631787,0.6872795305700656,0.8142012025318979,0.905574996955583,0.9557803459332078,0.9789279866162246,0.9863848914420699,0.9898221995518508,0.9925149150898359,0.9980291996598064
4,P13-15,1.0,1536.0,0.8716134524582495,0.12832223041569402,0.2398836604724649,0.3888416579372697,0.5083806729307911,0.6019142588613376,0.6927325945790802,0.8272561228715403,0.9154314943594646,0.9617022043930379,0.9802823171835413,0.9860051739552891,0.9896575081223511,0.9922609031509396,0.9963680768424727
5,P13-15,4.0,1468.0,0.8255326910552897,0.1517166821408917,0.2143420988082585,0.34054072152160464,0.4045057490324946,0.5216781611911618,0.6168800481617833,0.7432149116542193,0.8737876034466128,0.9431327074100205,0.9728861489565359,0.9816221213660782,0.986649883814717,0.9907146002775162,0.99551842263938
6,P13-15,3.0,1293.0,0.8620596480627553,0.12262881019509092,0.1853636639763025,0.4245212472365963,0.5579024809471707,0.6197745552215703,0.7002557939352339,0.8076525506197321,0.8984002550437562,0.9495314753507954,0.9758012839203418,0.9850520615112394,0.9900130105441642,0.9937513772426539,0.9978547457937824
7,P13-15,2.0,3506.0,0.8776588162685067,0.12416426375533895,0.1806392720143871,0.4185583607165615,0.5275139217087264,0.6161228323459564,0.7113804785179454,0.8336091579932756,0.9228873967150784,0.9646488824834355,0.9817582063092253,0.9872873057788893,0.9907921113629824,0.9935128840220204,0.9979084720268064
8,P13-15,5.0,1447.0,0.8190052902791463,0.14169942287917686,0.2882244298681174,0.377761635304445,0.4674995832370385,0.533251204387039,0.6029197788144026,0.7472663135564872,0.8535984851487495,0.9297906743374615,0.9652195039187628,0.9765285514621923,0.9829372539274472,0.9873673155268763,0.9937370674632726
9,P13-15,6.0,4876.0,0.8434104296120665,0.1378457314498307,0.1436860901503231,0.4080951263929112,0.48071087459907613,0.5459728290458725,0.6474117049408484,0.781615576948053,0.8873384879421187,0.9478295367776584,0.9748967946618453,0.9827750524387264,0.9881290231213854,0.991476491222757,0.996993218027222
10,P13-15,7.0,1238.0,0.8589473960936613,0.1360885191017753,0.2489509059600979,0.3939051733536691,0.48907925633167837,0.5639279038710392,0.6605171611349078,0.7986663006585228,0.9075026845499929,0.9589590824689124,0.9802915332190807,0.9876962303573882,0.9907451062377305,0.9937012406593204,0.9985186626649106
11,P16-18,2.0,1761.0,0.8820797516191923,0.11701438736872587,0.2648609465589018,0.48228750425517614,0.5484616254792517,0.627468160106136,0.7201462428954881,0.8429608019932515,0.921539015011383,0.9643592957564386,0.981718987349106,0.9871358750530582,0.9905476458370716,0.9930696735948847,0.9980422531681828
12,P16-18,3.0,4660.0,0.8576017806239272,0.13064236134081683,0.0841140475181782,0.41005299430518966,0.5028772093398935,0.5812491849827435,0.6738181739210998,0.8037238481513338,0.9007519386153626,0.9525403632629401,0.9757367906093068,0.9836951643101501,0.9880512178489603,0.9919946395120738,0.9979424841288907
13,P16-18,4.0,1315.0,0.8310451781258,0.14711739244636077,0.2348477640800207,0.36967824041433284,0.4485991123948766,0.5196639454111073,0.6165464963868365,0.7607367995906256,0.876732735478148,0.944195393068345,0.9743936211144747,0.9830415480543956,0.9880957932152621,0.9923959772211727,0.99623512246402
14,P16-18,6.0,1608.0,0.8496115266221027,0.13508384164861062,0.2292153198323626,0.4128671015123257,0.5037178416144235,0.5629900420031888,0.6557568838837569,0.7845511847411671,0.8925634495425387,0.9522792264764341,0.9764799404470338,0.9843232616434948,0.9898547675212662,0.9920159923028973,0.9962638450151174
15,P16-18,1.0,1215.0,0.8512626217562836,0.1397698161914519,0.1579765066151113,0.4052375078322092,0.4868436484313537,0.5571549603129948,0.6469938046069096,0.7918333776676032,0.8953113289162786,0.9550646253862103,0.9795502704092929,0.9860167278568631,0.9902357944253369,0.9935194346258925,0.9975980443539776
