Metadata_Well,Metadata_WellRow,Metadata_WellColumn,Metadata_Field,TimepointName,SerialPassage_BatchNumber,AgeGroup,PassageNumber,Staining,Drug
B01,2,1,1,SPB12 AG2_Doxo P12,12,2,12,LAMP1-488 + MitoRed + Phalloidin-647,Doxo
B01,2,1,2,SPB12 AG2_Doxo P12,12,2,12,LAMP1-488 + MitoRed + Phalloidin-647,Doxo
B01,2,1,3,SPB12 AG2_Doxo P12,12,2,12,LAMP1-488 + MitoRed + Phalloidin-647,Doxo
B01,2,1,4,SPB12 AG2_Doxo P12,12,2,12,LAMP1-488 + MitoRed + Phalloidin-647,Doxo
B01,2,1,5,SPB12 AG2_Doxo P12,12,2,12,LAMP1-488 + MitoRed + Phalloidin-647,Doxo
B01,2,1,6,SPB12 AG2_Doxo P12,12,2,12,LAMP1-488 + MitoRed + Phalloidin-647,Doxo
B01,2,1,7,SPB12 AG2_Doxo P12,12,2,12,LAMP1-488 + MitoRed + Phalloidin-647,Doxo
B01,2,1,8,SPB12 AG2_Doxo P12,12,2,12,LAMP1-488 + MitoRed + Phalloidin-647,Doxo
B01,2,1,9,SPB12 AG2_Doxo P12,12,2,12,LAMP1-488 + MitoRed + Phalloidin-647,Doxo
B01,2,1,10,SPB12 AG2_Doxo P12,12,2,12,LAMP1-488 + MitoRed + Phalloidin-647,Doxo
B01,2,1,11,SPB12 AG2_Doxo P12,12,2,12,LAMP1-488 + MitoRed + Phalloidin-647,Doxo
B01,2,1,12,SPB12 AG2_Doxo P12,12,2,12,LAMP1-488 + MitoRed + Phalloidin-647,Doxo
B01,2,1,13,SPB12 AG2_Doxo P12,12,2,12,LAMP1-488 + MitoRed + Phalloidin-647,Doxo
B01,2,1,14,SPB12 AG2_Doxo P12,12,2,12,LAMP1-488 + MitoRed + Phalloidin-647,Doxo
B01,2,1,15,SPB12 AG2_Doxo P12,12,2,12,LAMP1-488 + MitoRed + Phalloidin-647,Doxo
B01,2,1,16,SPB12 AG2_Doxo P12,12,2,12,LAMP1-488 + MitoRed + Phalloidin-647,Doxo
B01,2,1,17,SPB12 AG2_Doxo P12,12,2,12,LAMP1-488 + MitoRed + Phalloidin-647,Doxo
B01,2,1,18,SPB12 AG2_Doxo P12,12,2,12,LAMP1-488 + MitoRed + Phalloidin-647,Doxo
B01,2,1,19,SPB12 AG2_Doxo P12,12,2,12,LAMP1-488 + MitoRed + Phalloidin-647,Doxo
B01,2,1,20,SPB12 AG2_Doxo P12,12,2,12,LAMP1-488 + MitoRed + Phalloidin-647,Doxo
B01,2,1,21,SPB12 AG2_Doxo P12,12,2,12,LAMP1-488 + MitoRed + Phalloidin-647,Doxo
B01,2,1,22,SPB12 AG2_Doxo P12,12,2,12,LAMP1-488 + MitoRed + Phalloidin-647,Doxo
B01,2,1,23,SPB12 AG2_Doxo P12,12,2,12,LAMP1-488 + MitoRed + Phalloidin-647,Doxo
B01,2,1,24,SPB12 AG2_Doxo P12,12,2,12,LAMP1-488 + MitoRed + Phalloidin-647,Doxo
B01,2,1,25,SPB12 AG2_Doxo P12,12,2,12,LAMP1-488 + MitoRed + Phalloidin-647,Doxo
B01,2,1,26,SPB12 AG2_Doxo P12,12,2,12,LAMP1-488 + MitoRed + Phalloidin-647,Doxo
B01,2,1,27,SPB12 AG2_Doxo P12,12,2,12,LAMP1-488 + MitoRed + Phalloidin-647,Doxo
B01,2,1,28,SPB12 AG2_Doxo P12,12,2,12,LAMP1-488 + MitoRed + Phalloidin-647,Doxo
B01,2,1,29,SPB12 AG2_Doxo P12,12,2,12,LAMP1-488 + MitoRed + Phalloidin-647,Doxo
B01,2,1,30,SPB12 AG2_Doxo P12,12,2,12,LAMP1-488 + MitoRed + Phalloidin-647,Doxo
B01,2,1,31,SPB12 AG2_Doxo P12,12,2,12,LAMP1-488 + MitoRed + Phalloidin-647,Doxo
B01,2,1,32,SPB12 AG2_Doxo P12,12,2,12,LAMP1-488 + MitoRed + Phalloidin-647,Doxo
B01,2,1,33,SPB12 AG2_Doxo P12,12,2,12,LAMP1-488 + MitoRed + Phalloidin-647,Doxo
B01,2,1,34,SPB12 AG2_Doxo P12,12,2,12,LAMP1-488 + MitoRed + Phalloidin-647,Doxo
B01,2,1,35,SPB12 AG2_Doxo P12,12,2,12,LAMP1-488 + MitoRed + Phalloidin-647,Doxo
B01,2,1,36,SPB12 AG2_Doxo P12,12,2,12,LAMP1-488 + MitoRed + Phalloidin-647,Doxo
B01,2,1,37,SPB12 AG2_Doxo P12,12,2,12,LAMP1-488 + MitoRed + Phalloidin-647,Doxo
B01,2,1,38,SPB12 AG2_Doxo P12,12,2,12,LAMP1-488 + MitoRed + Phalloidin-647,Doxo
B01,2,1,39,SPB12 AG2_Doxo P12,12,2,12,LAMP1-488 + MitoRed + Phalloidin-647,Doxo
B01,2,1,40,SPB12 AG2_Doxo P12,12,2,12,LAMP1-488 + MitoRed + Phalloidin-647,Doxo
B02,2,2,1,SPB3 AG9 P29,3,9,29,LAMP1-488 + MitoRed + Phalloidin-647,None
B02,2,2,2,SPB3 AG9 P29,3,9,29,LAMP1-488 + MitoRed + Phalloidin-647,None
B02,2,2,3,SPB3 AG9 P29,3,9,29,LAMP1-488 + MitoRed + Phalloidin-647,None
B02,2,2,4,SPB3 AG9 P29,3,9,29,LAMP1-488 + MitoRed + Phalloidin-647,None
B02,2,2,5,SPB3 AG9 P29,3,9,29,LAMP1-488 + MitoRed + Phalloidin-647,None
B02,2,2,6,SPB3 AG9 P29,3,9,29,LAMP1-488 + MitoRed + Phalloidin-647,None
B02,2,2,7,SPB3 AG9 P29,3,9,29,LAMP1-488 + MitoRed + Phalloidin-647,None
B02,2,2,8,SPB3 AG9 P29,3,9,29,LAMP1-488 + MitoRed + Phalloidin-647,None
B02,2,2,9,SPB3 AG9 P29,3,9,29,LAMP1-488 + MitoRed + Phalloidin-647,None
B02,2,2,10,SPB3 AG9 P29,3,9,29,LAMP1-488 + MitoRed + Phalloidin-647,None
B02,2,2,11,SPB3 AG9 P29,3,9,29,LAMP1-488 + MitoRed + Phalloidin-647,None
B02,2,2,12,SPB3 AG9 P29,3,9,29,LAMP1-488 + MitoRed + Phalloidin-647,None
B02,2,2,13,SPB3 AG9 P29,3,9,29,LAMP1-488 + MitoRed + Phalloidin-647,None
B02,2,2,14,SPB3 AG9 P29,3,9,29,LAMP1-488 + MitoRed + Phalloidin-647,None
B02,2,2,15,SPB3 AG9 P29,3,9,29,LAMP1-488 + MitoRed + Phalloidin-647,None
B02,2,2,16,SPB3 AG9 P29,3,9,29,LAMP1-488 + MitoRed + Phalloidin-647,None
B02,2,2,17,SPB3 AG9 P29,3,9,29,LAMP1-488 + MitoRed + Phalloidin-647,None
B02,2,2,18,SPB3 AG9 P29,3,9,29,LAMP1-488 + MitoRed + Phalloidin-647,None
B02,2,2,19,SPB3 AG9 P29,3,9,29,LAMP1-488 + MitoRed + Phalloidin-647,None
B02,2,2,20,SPB3 AG9 P29,3,9,29,LAMP1-488 + MitoRed + Phalloidin-647,None
B02,2,2,21,SPB3 AG9 P29,3,9,29,LAMP1-488 + MitoRed + Phalloidin-647,None
B02,2,2,22,SPB3 AG9 P29,3,9,29,LAMP1-488 + MitoRed + Phalloidin-647,None
B02,2,2,23,SPB3 AG9 P29,3,9,29,LAMP1-488 + MitoRed + Phalloidin-647,None
B02,2,2,24,SPB3 AG9 P29,3,9,29,LAMP1-488 + MitoRed + Phalloidin-647,None
B02,2,2,25,SPB3 AG9 P29,3,9,29,LAMP1-488 + MitoRed + Phalloidin-647,None
B02,2,2,26,SPB3 AG9 P29,3,9,29,LAMP1-488 + MitoRed + Phalloidin-647,None
B02,2,2,27,SPB3 AG9 P29,3,9,29,LAMP1-488 + MitoRed + Phalloidin-647,None
B02,2,2,28,SPB3 AG9 P29,3,9,29,LAMP1-488 + MitoRed + Phalloidin-647,None
B02,2,2,29,SPB3 AG9 P29,3,9,29,LAMP1-488 + MitoRed + Phalloidin-647,None
B02,2,2,30,SPB3 AG9 P29,3,9,29,LAMP1-488 + MitoRed + Phalloidin-647,None
B02,2,2,31,SPB3 AG9 P29,3,9,29,LAMP1-488 + MitoRed + Phalloidin-647,None
B02,2,2,32,SPB3 AG9 P29,3,9,29,LAMP1-488 + MitoRed + Phalloidin-647,None
B02,2,2,33,SPB3 AG9 P29,3,9,29,LAMP1-488 + MitoRed + Phalloidin-647,None
B02,2,2,34,SPB3 AG9 P29,3,9,29,LAMP1-488 + MitoRed + Phalloidin-647,None
B02,2,2,35,SPB3 AG9 P29,3,9,29,LAMP1-488 + MitoRed + Phalloidin-647,None
B02,2,2,36,SPB3 AG9 P29,3,9,29,LAMP1-488 + MitoRed + Phalloidin-647,None
B02,2,2,37,SPB3 AG9 P29,3,9,29,LAMP1-488 + MitoRed + Phalloidin-647,None
B02,2,2,38,SPB3 AG9 P29,3,9,29,LAMP1-488 + MitoRed + Phalloidin-647,None
B02,2,2,39,SPB3 AG9 P29,3,9,29,LAMP1-488 + MitoRed + Phalloidin-647,None
B02,2,2,40,SPB3 AG9 P29,3,9,29,LAMP1-488 + MitoRed + Phalloidin-647,None
B03,2,3,1,SPB4 AG8 P27,4,8,27,LAMP1-488 + MitoRed + Phalloidin-647,None
B03,2,3,2,SPB4 AG8 P27,4,8,27,LAMP1-488 + MitoRed + Phalloidin-647,None
B03,2,3,3,SPB4 AG8 P27,4,8,27,LAMP1-488 + MitoRed + Phalloidin-647,None
B03,2,3,4,SPB4 AG8 P27,4,8,27,LAMP1-488 + MitoRed + Phalloidin-647,None
B03,2,3,5,SPB4 AG8 P27,4,8,27,LAMP1-488 + MitoRed + Phalloidin-647,None
B03,2,3,6,SPB4 AG8 P27,4,8,27,LAMP1-488 + MitoRed + Phalloidin-647,None
B03,2,3,7,SPB4 AG8 P27,4,8,27,LAMP1-488 + MitoRed + Phalloidin-647,None
B03,2,3,8,SPB4 AG8 P27,4,8,27,LAMP1-488 + MitoRed + Phalloidin-647,None
B03,2,3,9,SPB4 AG8 P27,4,8,27,LAMP1-488 + MitoRed + Phalloidin-647,None
B03,2,3,10,SPB4 AG8 P27,4,8,27,LAMP1-488 + MitoRed + Phalloidin-647,None
B03,2,3,11,SPB4 AG8 P27,4,8,27,LAMP1-488 + MitoRed + Phalloidin-647,None
B03,2,3,12,SPB4 AG8 P27,4,8,27,LAMP1-488 + MitoRed + Phalloidin-647,None
B03,2,3,13,SPB4 AG8 P27,4,8,27,LAMP1-488 + MitoRed + Phalloidin-647,None
B03,2,3,14,SPB4 AG8 P27,4,8,27,LAMP1-488 + MitoRed + Phalloidin-647,None
B03,2,3,15,SPB4 AG8 P27,4,8,27,LAMP1-488 + MitoRed + Phalloidin-647,None
B03,2,3,16,SPB4 AG8 P27,4,8,27,LAMP1-488 + MitoRed + Phalloidin-647,None
B03,2,3,17,SPB4 AG8 P27,4,8,27,LAMP1-488 + MitoRed + Phalloidin-647,None
B03,2,3,18,SPB4 AG8 P27,4,8,27,LAMP1-488 + MitoRed + Phalloidin-647,None
B03,2,3,19,SPB4 AG8 P27,4,8,27,LAMP1-488 + MitoRed + Phalloidin-647,None
B03,2,3,20,SPB4 AG8 P27,4,8,27,LAMP1-488 + MitoRed + Phalloidin-647,None
B03,2,3,21,SPB4 AG8 P27,4,8,27,LAMP1-488 + MitoRed + Phalloidin-647,None
B03,2,3,22,SPB4 AG8 P27,4,8,27,LAMP1-488 + MitoRed + Phalloidin-647,None
B03,2,3,23,SPB4 AG8 P27,4,8,27,LAMP1-488 + MitoRed + Phalloidin-647,None
