,AllGroups,Replicate_Number,count,mean,std,min,1%,2.5%,5%,10%,25%,50%,75%,90%,95%,97.5%,99%,max
32,P23-25,5,2814.0,2.4477611940298507,1.3878018300495716,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,4.0,5.0,5.0,6.0,8.0
33,P23-25,6,1145.0,1.5676855895196506,1.162122322592605,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,4.0,4.0,5.0,6.0
34,P23-25,4,2402.0,1.154870940882598,0.9923463900091182,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,3.0,4.0,6.0
35,P23-25,7,535.0,1.005607476635514,0.9608274928961202,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0
36,P26-28,6,418.0,1.0933014354066986,0.9932158896248139,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,3.0,4.0,5.0
37,P26-28,7,498.0,1.2650602409638554,1.0120124065701237,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,3.5749999999999886,4.0,6.0
38,P26-28,5,44.0,0.7727272727272727,0.7108343071786536,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0
39,P29+,5,199.0,0.8391959798994975,0.8313742771283136,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0
40,P29+,6,6.0,0.3333333333333333,0.5163977794943223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,1.0,1.0,1.0,1.0
41,P29+,7,58.0,0.6896551724137931,0.6270761041623045,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0
42,Doxo,5,104.0,0.5865384615384616,0.6770951220704449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.7000000000000028,2.0,2.0,2.0,2.0
43,Doxo,6,354.0,0.8107344632768362,0.8847451403002102,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,3.4699999999999704,5.0
44,Doxo,7,136.0,0.5441176470588235,0.5691793580341793,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0
