Elapsed,P23,P17,P14,P11,P9,P6
0,17.41234,31.49733,22.10599,24.40309,30.89592,30.65091
4,17.0063,34.15433,23.04369,26.522,30.1288,29.19295
8,16.06886,34.15309,21.56274,26.91885,28.58127,27.56378
12,14.83576,32.96008,21.429,27.01933,29.60196,30.71874
16,16.08452,36.70952,25.03039,31.25899,35.44443,36.30064
20,17.39596,38.97292,26.31042,34.32275,37.19517,38.3161
24,22.84487,48.91646,35.18815,46.2261,49.16859,49.6235
28,22.25508,49.30202,36.98182,48.23359,52.49232,53.84081
32,25.02956,54.43209,41.74571,54.64265,59.02925,59.79289
36,27.88678,60.43733,48.1871,62.79804,66.47151,68.83006
40,29.54173,63.85592,54.07504,68.96489,73.13705,76.80043
44,31.85318,67.50782,60.24086,76.082,79.13181,83.45122
48,34.15484,72.30508,68.84015,84.1397,86.28358,90.80763
52,37.19743,75.73446,77.6047,90.39899,91.95303,95.69907
56,41.96458,81.43702,85.96893,95.17616,96.46774,98.6037
60,44.58413,83.99484,90.89171,97.60718,98.40116,99.47287
64,46.04618,85.22491,92.91702,98.07915,98.96537,99.77541
68,47.33529,85.32652,93.89154,98.32394,99.03256,99.83611
72,42.06633,79.71017,91.27795,97.55984,98.05006,99.68805
