,filter_type,columns,rows_initial,rows_removed,threshold,rows,Plate_Number
Nuclei_Intensity_MedianIntensity_DAPI_MAX_WellNormalized_Filter_Top,Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Top Band,3471,14353,29,Top threshold: 2.5,14324.0,Plate 3
Cell_Neighbours_Filter,Percent of Cell Touching Neighbours AND Number Of Neighbours < 97.5th Percentile,3471,14353,1632,Max Percent Touching: 65.82167832167832 and Max Number Of Neighbours: 4.0,12721.0,Plate 3
Cell_Neighbours_PercentTouchingOnlyFilter,Percent of Cell Touching Neighbours < 97.5th Percentile,3471,14353,903,Max Percent Touching: 65.82167832167832,13450.0,Plate 3
Cell_Neighbours_NumberOfOnlyFilter,Number Of Neighbours < 97.5th Percentile,3471,14353,1157,Max Number Of Neighbours: 4.0,13196.0,Plate 3
Nuc_Neighbours_Filter,Number Of Nuclei Neighbours < 97.5th Percentile,3471,14353,91,Max Number Of Nuclei Neighbours: 1.0,14262.0,Plate 3
Initial_Dataset,Initial Dataset,3471,12659,0,"None,None",,Plate 4
Number_of_Mitochondria_Filter,Min Number of Mitochondria Filter,3471,12659,7,min_compartments=0,12652.0,Plate 4
Number_of_Lysosomes_Filter,Min Number of Lysosomes Filter,3471,12659,4,min_compartments=0,12655.0,Plate 4
AreaShape_Area_Filter_Bottom,Cell Size Filter Bottom Band,3471,12659,420,Bottom threshold: 22768.0,12239.0,Plate 4
AreaShape_Area_Filter_Top,Cell Size Filter Top Band,3471,12659,0,Top threshold: 1254046.5,12239.0,Plate 4
Nuclei_AreaShape_Area_Filter_Bottom,Nuclear Size Filter Bottom Band,3471,12659,494,Bottom threshold: 9340.0,12162.0,Plate 4
Nuclei_AreaShape_Area_Filter_Top,Nuclear Size Filter Top Band,3471,12659,3,Top threshold: 98385.75,12162.0,Plate 4
Cell_Nuclei_Area_Ratio_Filter_Bottom,Cell:Nuclear Area Ratio Filter Bottom Band,3471,12659,451,Bottom threshold: 1.9243336199484091,12208.0,Plate 4
Cell_Nuclei_Area_Ratio_Filter_Top,Cell:Nuclear Area Ratio Filter Top Band,3471,12659,470,Top threshold: 20.530685742771166,12189.0,Plate 4
Nuclei_Intensity_MedianIntensity_DAPI_MAX_WellNormalized_Filter_Bottom,Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Bottom Band,3471,12659,1,Bottom threshold: 0.022647335420586917,12658.0,Plate 4
Nuclei_Intensity_MedianIntensity_DAPI_MAX_WellNormalized_Filter_Top,Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Top Band,3471,12659,19,Top threshold: 2.5,12640.0,Plate 4
Cell_Neighbours_Filter,Percent of Cell Touching Neighbours AND Number Of Neighbours < 97.5th Percentile,3471,12659,420,Max Percent Touching: 65.82167832167832 and Max Number Of Neighbours: 4.0,12239.0,Plate 4
Cell_Neighbours_PercentTouchingOnlyFilter,Percent of Cell Touching Neighbours < 97.5th Percentile,3471,12659,248,Max Percent Touching: 65.82167832167832,12411.0,Plate 4
Cell_Neighbours_NumberOfOnlyFilter,Number Of Neighbours < 97.5th Percentile,3471,12659,253,Max Number Of Neighbours: 4.0,12406.0,Plate 4
Nuc_Neighbours_Filter,Number Of Nuclei Neighbours < 97.5th Percentile,3471,12659,52,Max Number Of Nuclei Neighbours: 1.0,12607.0,Plate 4
Initial_Dataset,Initial Dataset,3471,12551,0,"None,None",,Plate 5
Number_of_Mitochondria_Filter,Min Number of Mitochondria Filter,3471,12551,6,min_compartments=0,12545.0,Plate 5
Number_of_Lysosomes_Filter,Min Number of Lysosomes Filter,3471,12551,3,min_compartments=0,12548.0,Plate 5
AreaShape_Area_Filter_Bottom,Cell Size Filter Bottom Band,3471,12551,317,Bottom threshold: 22768.0,12232.0,Plate 5
AreaShape_Area_Filter_Top,Cell Size Filter Top Band,3471,12551,2,Top threshold: 1254046.5,12232.0,Plate 5
Nuclei_AreaShape_Area_Filter_Bottom,Nuclear Size Filter Bottom Band,3471,12551,348,Bottom threshold: 9340.0,12185.0,Plate 5
Nuclei_AreaShape_Area_Filter_Top,Nuclear Size Filter Top Band,3471,12551,18,Top threshold: 98385.75,12185.0,Plate 5
Cell_Nuclei_Area_Ratio_Filter_Bottom,Cell:Nuclear Area Ratio Filter Bottom Band,3471,12551,642,Bottom threshold: 1.9243336199484091,11909.0,Plate 5
Cell_Nuclei_Area_Ratio_Filter_Top,Cell:Nuclear Area Ratio Filter Top Band,3471,12551,670,Top threshold: 20.530685742771166,11881.0,Plate 5
Nuclei_Intensity_MedianIntensity_DAPI_MAX_WellNormalized_Filter_Bottom,Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Bottom Band,3471,12551,1,Bottom threshold: 0.04709826746439787,12550.0,Plate 5
Nuclei_Intensity_MedianIntensity_DAPI_MAX_WellNormalized_Filter_Top,Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Top Band,3471,12551,35,Top threshold: 2.5,12516.0,Plate 5
Cell_Neighbours_Filter,Percent of Cell Touching Neighbours AND Number Of Neighbours < 97.5th Percentile,3471,12551,1440,Max Percent Touching: 65.82167832167832 and Max Number Of Neighbours: 4.0,11111.0,Plate 5
Cell_Neighbours_PercentTouchingOnlyFilter,Percent of Cell Touching Neighbours < 97.5th Percentile,3471,12551,820,Max Percent Touching: 65.82167832167832,11731.0,Plate 5
Cell_Neighbours_NumberOfOnlyFilter,Number Of Neighbours < 97.5th Percentile,3471,12551,1046,Max Number Of Neighbours: 4.0,11505.0,Plate 5
Nuc_Neighbours_Filter,Number Of Nuclei Neighbours < 97.5th Percentile,3471,12551,137,Max Number Of Nuclei Neighbours: 1.0,12414.0,Plate 5
Initial_Dataset,Initial Dataset,3471,11745,0,"None,None",,Plate 6
Number_of_Mitochondria_Filter,Min Number of Mitochondria Filter,3471,11745,4,min_compartments=0,11741.0,Plate 6
Number_of_Lysosomes_Filter,Min Number of Lysosomes Filter,3471,11745,1,min_compartments=0,11744.0,Plate 6
AreaShape_Area_Filter_Bottom,Cell Size Filter Bottom Band,3471,11745,245,Bottom threshold: 22768.0,11489.0,Plate 6
AreaShape_Area_Filter_Top,Cell Size Filter Top Band,3471,11745,11,Top threshold: 1254046.5,11489.0,Plate 6
Nuclei_AreaShape_Area_Filter_Bottom,Nuclear Size Filter Bottom Band,3471,11745,236,Bottom threshold: 9340.0,11489.0,Plate 6
Nuclei_AreaShape_Area_Filter_Top,Nuclear Size Filter Top Band,3471,11745,20,Top threshold: 98385.75,11489.0,Plate 6
Cell_Nuclei_Area_Ratio_Filter_Bottom,Cell:Nuclear Area Ratio Filter Bottom Band,3471,11745,522,Bottom threshold: 1.9243336199484091,11223.0,Plate 6
Cell_Nuclei_Area_Ratio_Filter_Top,Cell:Nuclear Area Ratio Filter Top Band,3471,11745,566,Top threshold: 20.530685742771166,11179.0,Plate 6
Nuclei_Intensity_MedianIntensity_DAPI_MAX_WellNormalized_Filter_Bottom,Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Bottom Band,3471,11745,1,Bottom threshold: 0.03668814756140654,11744.0,Plate 6
Nuclei_Intensity_MedianIntensity_DAPI_MAX_WellNormalized_Filter_Top,Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Top Band,3471,11745,16,Top threshold: 2.5,11729.0,Plate 6
Cell_Neighbours_Filter,Percent of Cell Touching Neighbours AND Number Of Neighbours < 97.5th Percentile,3471,11745,605,Max Percent Touching: 65.82167832167832 and Max Number Of Neighbours: 4.0,11140.0,Plate 6
Cell_Neighbours_PercentTouchingOnlyFilter,Percent of Cell Touching Neighbours < 97.5th Percentile,3471,11745,346,Max Percent Touching: 65.82167832167832,11399.0,Plate 6
Cell_Neighbours_NumberOfOnlyFilter,Number Of Neighbours < 97.5th Percentile,3471,11745,369,Max Number Of Neighbours: 4.0,11376.0,Plate 6
Nuc_Neighbours_Filter,Number Of Nuclei Neighbours < 97.5th Percentile,3471,11745,72,Max Number Of Nuclei Neighbours: 1.0,11673.0,Plate 6
Initial_Dataset,Initial Dataset,3471,8313,0,"None,None",,Plate 7
Number_of_Mitochondria_Filter,Min Number of Mitochondria Filter,3471,8313,1,min_compartments=0,8312.0,Plate 7
Number_of_Lysosomes_Filter,Min Number of Lysosomes Filter,3471,8313,1,min_compartments=0,8312.0,Plate 7
AreaShape_Area_Filter_Bottom,Cell Size Filter Bottom Band,3471,8313,39,Bottom threshold: 22768.0,8249.0,Plate 7
AreaShape_Area_Filter_Top,Cell Size Filter Top Band,3471,8313,25,Top threshold: 1254046.5,8249.0,Plate 7
Nuclei_AreaShape_Area_Filter_Bottom,Nuclear Size Filter Bottom Band,3471,8313,124,Bottom threshold: 9340.0,8159.0,Plate 7
Nuclei_AreaShape_Area_Filter_Top,Nuclear Size Filter Top Band,3471,8313,30,Top threshold: 98385.75,8159.0,Plate 7
Cell_Nuclei_Area_Ratio_Filter_Bottom,Cell:Nuclear Area Ratio Filter Bottom Band,3471,8313,66,Bottom threshold: 1.9243336199484091,8247.0,Plate 7
Cell_Nuclei_Area_Ratio_Filter_Top,Cell:Nuclear Area Ratio Filter Top Band,3471,8313,120,Top threshold: 20.530685742771166,8193.0,Plate 7
Nuclei_Intensity_MedianIntensity_DAPI_MAX_WellNormalized_Filter_Bottom,Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Bottom Band,3471,8313,1,Bottom threshold: 0.02651916403099086,8312.0,Plate 7
Nuclei_Intensity_MedianIntensity_DAPI_MAX_WellNormalized_Filter_Top,Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Top Band,3471,8313,45,Top threshold: 2.5,8268.0,Plate 7
Cell_Neighbours_Filter,Percent of Cell Touching Neighbours AND Number Of Neighbours < 97.5th Percentile,3471,8313,382,Max Percent Touching: 65.82167832167832 and Max Number Of Neighbours: 4.0,7931.0,Plate 7
Cell_Neighbours_PercentTouchingOnlyFilter,Percent of Cell Touching Neighbours < 97.5th Percentile,3471,8313,186,Max Percent Touching: 65.82167832167832,8127.0,Plate 7
Cell_Neighbours_NumberOfOnlyFilter,Number Of Neighbours < 97.5th Percentile,3471,8313,256,Max Number Of Neighbours: 4.0,8057.0,Plate 7
Nuc_Neighbours_Filter,Number Of Nuclei Neighbours < 97.5th Percentile,3471,8313,11,Max Number Of Nuclei Neighbours: 1.0,8302.0,Plate 7
