,filter_type,columns,rows_initial,rows_removed,threshold,rows,AllGroups
Cell_Nuclei_Area_Ratio_Filter_Bottom,Cell:Nuclear Area Ratio Filter Bottom Band,3471,11983,265,Bottom threshold: 1.9243336199484091,11718.0,P16-18
Cell_Nuclei_Area_Ratio_Filter_Top,Cell:Nuclear Area Ratio Filter Top Band,3471,11983,291,Top threshold: 20.530685742771166,11692.0,P16-18
Nuclei_Intensity_MedianIntensity_DAPI_MAX_WellNormalized_Filter_Bottom,Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Bottom Band,3471,11983,1,Bottom threshold: 0.032459896499051406,11982.0,P16-18
Nuclei_Intensity_MedianIntensity_DAPI_MAX_WellNormalized_Filter_Top,Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Top Band,3471,11983,21,Top threshold: 2.5,11962.0,P16-18
Cell_Neighbours_Filter,Percent of Cell Touching Neighbours AND Number Of Neighbours < 97.5th Percentile,3471,11983,989,Max Percent Touching: 65.82167832167832 and Max Number Of Neighbours: 4.0,10994.0,P16-18
Cell_Neighbours_PercentTouchingOnlyFilter,Percent of Cell Touching Neighbours < 97.5th Percentile,3471,11983,549,Max Percent Touching: 65.82167832167832,11434.0,P16-18
Cell_Neighbours_NumberOfOnlyFilter,Number Of Neighbours < 97.5th Percentile,3471,11983,695,Max Number Of Neighbours: 4.0,11288.0,P16-18
Nuc_Neighbours_Filter,Number Of Nuclei Neighbours < 97.5th Percentile,3471,11983,73,Max Number Of Nuclei Neighbours: 1.0,11910.0,P16-18
Initial_Dataset,Initial Dataset,3471,12648,0,"None,None",,P19-21
Number_of_Mitochondria_Filter,Min Number of Mitochondria Filter,3471,12648,4,min_compartments=0,12644.0,P19-21
Number_of_Lysosomes_Filter,Min Number of Lysosomes Filter,3471,12648,2,min_compartments=0,12646.0,P19-21
AreaShape_Area_Filter_Bottom,Cell Size Filter Bottom Band,3471,12648,176,Bottom threshold: 22768.0,12469.0,P19-21
AreaShape_Area_Filter_Top,Cell Size Filter Top Band,3471,12648,3,Top threshold: 1254046.5,12469.0,P19-21
Nuclei_AreaShape_Area_Filter_Bottom,Nuclear Size Filter Bottom Band,3471,12648,246,Bottom threshold: 9340.0,12391.0,P19-21
Nuclei_AreaShape_Area_Filter_Top,Nuclear Size Filter Top Band,3471,12648,11,Top threshold: 98385.75,12391.0,P19-21
Cell_Nuclei_Area_Ratio_Filter_Bottom,Cell:Nuclear Area Ratio Filter Bottom Band,3471,12648,253,Bottom threshold: 1.9243336199484091,12395.0,P19-21
Cell_Nuclei_Area_Ratio_Filter_Top,Cell:Nuclear Area Ratio Filter Top Band,3471,12648,293,Top threshold: 20.530685742771166,12355.0,P19-21
Nuclei_Intensity_MedianIntensity_DAPI_MAX_WellNormalized_Filter_Bottom,Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Bottom Band,3471,12648,1,Bottom threshold: 0.022855910716346406,12647.0,P19-21
Nuclei_Intensity_MedianIntensity_DAPI_MAX_WellNormalized_Filter_Top,Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Top Band,3471,12648,24,Top threshold: 2.5,12624.0,P19-21
Cell_Neighbours_Filter,Percent of Cell Touching Neighbours AND Number Of Neighbours < 97.5th Percentile,3471,12648,942,Max Percent Touching: 65.82167832167832 and Max Number Of Neighbours: 4.0,11706.0,P19-21
Cell_Neighbours_PercentTouchingOnlyFilter,Percent of Cell Touching Neighbours < 97.5th Percentile,3471,12648,520,Max Percent Touching: 65.82167832167832,12128.0,P19-21
Cell_Neighbours_NumberOfOnlyFilter,Number Of Neighbours < 97.5th Percentile,3471,12648,649,Max Number Of Neighbours: 4.0,11999.0,P19-21
Nuc_Neighbours_Filter,Number Of Nuclei Neighbours < 97.5th Percentile,3471,12648,60,Max Number Of Nuclei Neighbours: 1.0,12588.0,P19-21
Initial_Dataset,Initial Dataset,3471,10985,0,"None,None",,P22-24
Number_of_Mitochondria_Filter,Min Number of Mitochondria Filter,3471,10985,6,min_compartments=0,10979.0,P22-24
Number_of_Lysosomes_Filter,Min Number of Lysosomes Filter,3471,10985,4,min_compartments=0,10981.0,P22-24
AreaShape_Area_Filter_Bottom,Cell Size Filter Bottom Band,3471,10985,161,Bottom threshold: 22768.0,10816.0,P22-24
AreaShape_Area_Filter_Top,Cell Size Filter Top Band,3471,10985,8,Top threshold: 1254046.5,10816.0,P22-24
Nuclei_AreaShape_Area_Filter_Bottom,Nuclear Size Filter Bottom Band,3471,10985,248,Bottom threshold: 9340.0,10720.0,P22-24
Nuclei_AreaShape_Area_Filter_Top,Nuclear Size Filter Top Band,3471,10985,17,Top threshold: 98385.75,10720.0,P22-24
Cell_Nuclei_Area_Ratio_Filter_Bottom,Cell:Nuclear Area Ratio Filter Bottom Band,3471,10985,221,Bottom threshold: 1.9243336199484091,10764.0,P22-24
