,Number_Object_Number,AreaShape_Area,Nuclei_AreaShape_Area,Cell_Nuclei_Area_Ratio,Children_Lysosomes_Count,Children_Mitochondria_Count,Children_Mitochondria_Puncta_Count
count,50076.0,50076.0,50076.0,50076.0,50076.0,50076.0,50076.0
mean,6.9490574327022925,86482.45227254574,21926.3355699337,3.9095613577231627,198.44029075804778,91.28290997683521,18.147156322389968
std,5.2222746654302545,55329.03235655644,8613.740006442833,1.7371257168474958,140.0182491828511,72.1472587135322,16.48742367357975
min,1.0,9288.0,5376.0,1.0003315492824327,2.0,2.0,0.0
25%,3.0,48768.0,16400.0,2.6575198920698293,106.0,44.0,8.0
50%,6.0,72358.5,20560.0,3.5449431161423792,162.0,72.0,14.0
75%,9.0,108122.0,25617.0,4.797777429315419,248.0,117.0,23.0
max,58.0,1111938.0,173392.0,9.989433811802233,2393.0,1096.0,520.0
