Metadata_Well,Metadata_WellRow,Metadata_WellColumn,Metadata_Field,TimepointName,SerialPassage_BatchNumber,AgeGroup,PassageNumber,Staining,Drug
A02,1,2,1,SPB2 AG5 P21,2,5,21,Phalloidin-647 + ConA-594 ,None
A02,1,2,2,SPB2 AG5 P21,2,5,21,Phalloidin-647 + ConA-594 ,None
A02,1,2,3,SPB2 AG5 P21,2,5,21,Phalloidin-647 + ConA-594 ,None
A02,1,2,4,SPB2 AG5 P21,2,5,21,Phalloidin-647 + ConA-594 ,None
A02,1,2,5,SPB2 AG5 P21,2,5,21,Phalloidin-647 + ConA-594 ,None
A02,1,2,6,SPB2 AG5 P21,2,5,21,Phalloidin-647 + ConA-594 ,None
A02,1,2,7,SPB2 AG5 P21,2,5,21,Phalloidin-647 + ConA-594 ,None
A02,1,2,8,SPB2 AG5 P21,2,5,21,Phalloidin-647 + ConA-594 ,None
A02,1,2,9,SPB2 AG5 P21,2,5,21,Phalloidin-647 + ConA-594 ,None
A02,1,2,10,SPB2 AG5 P21,2,5,21,Phalloidin-647 + ConA-594 ,None
A02,1,2,11,SPB2 AG5 P21,2,5,21,Phalloidin-647 + ConA-594 ,None
A02,1,2,12,SPB2 AG5 P21,2,5,21,Phalloidin-647 + ConA-594 ,None
A02,1,2,13,SPB2 AG5 P21,2,5,21,Phalloidin-647 + ConA-594 ,None
A02,1,2,14,SPB2 AG5 P21,2,5,21,Phalloidin-647 + ConA-594 ,None
A02,1,2,15,SPB2 AG5 P21,2,5,21,Phalloidin-647 + ConA-594 ,None
A02,1,2,16,SPB2 AG5 P21,2,5,21,Phalloidin-647 + ConA-594 ,None
A02,1,2,17,SPB2 AG5 P21,2,5,21,Phalloidin-647 + ConA-594 ,None
A02,1,2,18,SPB2 AG5 P21,2,5,21,Phalloidin-647 + ConA-594 ,None
A02,1,2,19,SPB2 AG5 P21,2,5,21,Phalloidin-647 + ConA-594 ,None
A02,1,2,20,SPB2 AG5 P21,2,5,21,Phalloidin-647 + ConA-594 ,None
A02,1,2,21,SPB2 AG5 P21,2,5,21,Phalloidin-647 + ConA-594 ,None
A02,1,2,22,SPB2 AG5 P21,2,5,21,Phalloidin-647 + ConA-594 ,None
A02,1,2,23,SPB2 AG5 P21,2,5,21,Phalloidin-647 + ConA-594 ,None
A02,1,2,24,SPB2 AG5 P21,2,5,21,Phalloidin-647 + ConA-594 ,None
A02,1,2,25,SPB2 AG5 P21,2,5,21,Phalloidin-647 + ConA-594 ,None
